Harry, Snape was... trying to save me?,
Quirrell," I knew you were a danger to me right from the off, especially after Halloween.",
Harry, Th-th-then you let the troll in!,
Quirrell," Very good, Potter, yes. Snape, unfortunately, wasn't fooled. While everyone else was running about the dungeons, he went to the third floor to head me off. He, of course, never trusted me again. He barely left me alone. But he doesn't understand - I'm never alone. Never. Now, what does this mirror do? Yes, I see what I desire. I see myself holding the stone. But how do I get it?!",
Voldemort, Use the boy.,
Quirrell," COME HERE, POTTER!!! NOW!!! [Harry walks to Quirrell and the Mirror of Erised] Tell me. What do you see? [Harry sees his reflection take out the Philosopher's Stone, then places it into his pocket. He realizes that it actually is in his pocket.] What is it, what do you see?!",
Harry, I– I'm shaking hands with Dumbledore. I've won the House Cup.,
Voldemort, He lies.,
Quirrell, TELL THE TRUTH!!! WHAT DO YOU SEE?!,
Voldemort, Let me speak to him.,
Quirrell," Master, you are not strong enough!",
Voldemort, I have strength enough for this...,
Voldemort, Harry Potter. We meet again.,
Harry, Voldemort?,
Voldemort," Yes. You see what I've become? See what I must do to survive? Live off another, a mere parasite. Unicorn blood can sustain me, but it cannot give me a body of my own. But there is something that can. Something that, conveniently enough, lies in your pocket. [Harry attempts to escape] STOP HIM! [Quirrell blocks Harry by snapping his fingers, causing a large fire to block off the entrance] Don't be a fool. Why suffer a horrific death, when you can join me and live?",
Harry, Never!,
Voldemort," [laughs] Bravery. Your parents had it too. Tell me, Harry... would you like to see your mother and father again? [Harry's parents appear in the Mirror of Erised] Together, we can bring them back. All I ask is for something in return. [Harry pulls the Stone out of his pocket.] That's it, Harry. There is no good and evil. There is only power... and those too weak to seek it. Together, we can do extraordinary things. Just give me the Stone!",
Harry, [screams] YOU LIAR!,
Voldemort," KILL HIM! [Quirrell flies into the air and begins choking Harry. Harry tries to reach for the stone, but grabs Quirrell's wrist, and suddenly makes it immediately begin to burn and turn into ash. Quirrell gasps, screams, and lets go of Harry in fear and he starts to panic] What is this magic?! Fool! Get the Stone!",
Dumbledore," Harry, do you know why Professor Quirrell couldn't bear to have you touch him? [Harry shakes his head] It was because of your mother. She sacrificed herself for you, and that kind of act leaves a mark. [Harry reaches up to touch his scar] No, no. This kind of mark cannot be seen. It lives in your very skin.",
Harry, What is it?,
Dumbledore," [smiling] Love, Harry. Love.",
Hermione," Feels strange to be going home, doesn't it?",
Harry, I'm not going home... not really.,
Harry," Hi, Hedwig. [Hedwig has just flown down to the table where Harry, Ron and Hermoine are studying]",
Hermione, Look at you playing with your cards. Pathetic! We've got final exams coming up soon.,
Ron, I'm ready! Ask me any question.,
Hermione," All right, what are the three most crucial ingredients in a Forgetfulness Potion?",
Ron, ...I forgot.,
Hermione," And what, may I ask, do you plan to do if this comes up in the final exam?",
Ron, Copy off you?,
Hermione," No, you won't! Besides, according to Professor McGonagall, we're to be given special quills bewitched with an anti-cheating spell.",
Ron," That's insulting! It's as if they don't trust us! [checks a card, irritated] Dumbledore again!",
Ron," [Neville comes hopping in, his legs apparently stuck together] Leg-Locker Curse?",
Harry, Malfoy. [Neville approaches them amidst laughter from the other students],
Ron," You have got to start standing up to people, Neville.",
Neville Longbottom, [wobbling uncontrollably] How? I can barely stand at all!,
Seamus Finnigan," [jumping up, wand at the ready] I'll do the counter-curse!",
Neville Longbottom," No, that's all I need... you to set my bloody kneecaps on fire!",
Seamus Finnigan," [slamming his wand down angrily] I don't appreciate the insinuation, Longbottom. Besides, if anyone cares to notice, my eyebrows have completely grown back! [stalks off angrily, showing a large chunk of hair missing from the back of his head]",
Harry, I found him! [hands Ron a Chocolate Frog card of Dumbledore],
Ron," 'Dumbledore is particularly famous for his defeat of the Dark"" Wizard Grindelwald in 1945–'",
Harry, Go on.,
Ron," '-for his discovery of the 12 uses of Dragon Blood, and his work on alchemy with his partner Nicolas Flamel!'",
Harry, I knew the name sounded familiar. I read it on the train that day.,
Hermione, [beaming excitedly] Follow me!,
Neville Longbottom," Hey, wait, where are you going? What about the counter-curse?! [before he can say another word he topples over backwards, the other students start laughing]",
Harry, Will I have to wear that too?,
Petunia," You? Go to Smeltings? [Harry nods, questionably]",
Uncle Vernon, HA!,
Aunt Petunia," Don't be so stupid, you're going to go the state school where you belong. [Goes to the kitchen and fishes out a grey shirt in a boiler.] And this is what you're gonna be wearing when I've finished dyeing it.",
Harry, But that's Dudley's old uniform. It'll fit me like bits of old elephant skin.,
Draco Malfoy," Bet you loved that, didn't you, Potter? Famous Harry Potter. Can't even go into a bookshop without making the front page.",
Ginny Weasley, Leave him alone.,
Draco Malfoy," [Smirking] Oh, look, Potter. You've got yourself a girlfriend.",
Lucius Malfoy," [Places the silver snake of his walking stick on Draco's shoulder] Now, now, Draco. Play nicely. [To Harry] Mr. Potter. Lucius Malfoy. We meet at last. Forgive me. [uses the silver snake to pull back Harry's bangs; sees his scar] Your scar is legend. As, of course, is the wizard who gave it to you.",
Harry, [firmly] Voldemort killed my parents. He was nothing more than a murderer.,
Lucius Malfoy," Hmm, you must be very brave to mention his name. Or very foolish.",
Hermione, [Indirectly quoting Dumbledore] Fear of a name only increases fear of the thing itself.,
Lucius Malfoy," And you must be... Miss Granger. Yes, Draco's told me all about you... and your parents. [glances at the Grangers, who are speaking with Mr. Weasley] Muggles, aren't they? [Looks at Ron] Let me see. Red hair, vacant expressions... [Takes a book out of Ginny's cauldron] Tatty, secondhand book. [Smiles coldly] You must be the Weasleys.",
Arthur Weasley," [Arriving and attempting to ignore Mr. Malfoy ] Children, it's mad in here. Let's go outside.",
Lucius Malfoy," Well, well, well. Weasley Senior.",
Arthur Weasley, Lucius.,
Lucius Malfoy," Busy time at the Ministry, Arthur. All those extra raids; I do hope they're paying you overtime. [Picks up one of Ginny's books] Though judging by the state of this, I'd say not. [Places the book back in Ginny's cauldron; another book has been slipped in with it, though only Harry notices] What's the use of being a disgrace to the name of wizard... if they don't even pay you well for it?",
Arthur Weasley," We have a very different idea about what disgraces the name of wizard, Malfoy.",
Lucius Malfoy, Clearly. Associating with Muggles... And I thought your family could sink no lower. [Mr. Weasley glares at Mr Malfoy.] I'll see you at work.,
Draco Malfoy, See you at school.,
Snape's voice, You were seen! By no less than seven Muggles! [He throws the newspaper down and glares at Harry and Ron] Do you have any idea how serious this is? You have risked the exposure of our world! Not to mention the damage you inflicted on a Whomping Willow that's been on these grounds since before you were born.,
Ron," Honestly, Professor Snape, I think it did more damage to us.",
Snape," Silence! I assure you that were you in Slytherin and your fate rested with me, the both of you would be on the train home, tonight! As it is...",
Dumbledore, They are not.,
Harry, Professor Dumbledore. Professor McGonagall.,
Snape, Headmaster... these boys have flouted the Decree for the Restriction of Underage Wizardry. As such...,
Dumbledore," I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor House, it is for Professor McGonagall to determine the appropriate action.",
Ron," We'll go and get our stuff, then.",
McGonagall," What are you talking about, Mr. Weasley?",
Ron," You're going to expel us, aren't you?",
McGonagall," Not today, Mr. Weasley. But I must impress on both of you the seriousness of what you have done. I will be writing to your families tonight, and you will both receive detentions.",
Dean Thomas, Ron? Is that your owl?,
Ron, That bloody bird's a menace. [looks at the letter] Oh no!,
Seamus Finnigan," Look, everyone! Weasley's got himself a Howler!",
Neville Longbottom," Go on, Ron. I ignored one from my gran once... [looking uneasy] It was horrible!",
Mrs. Weasley via Howler," RONALD WEASLEY!!!!! (The Howler forms itself into a ranting mouth) HOW DARE YOU STEAL THAT CAR?!?!? I AM ABSOLUTELY DISGUSTED!!!!! YOUR FATHER'S NOW FACING AN INQUIRY AT WORK, AND IT'S ENTIRELY YOUR FAULT!!!!! IF YOU PUT ANOTHER TOE OUT OF LINE, WE'LL BRING YOU STRAIGHT HOME!!!!! (The Howler turns to Ginny, who is eating her breakfast; its voice is now quiet and loving) Oh, and Ginny, dear, congratulations on making Gryffindor. Your father and I are so proud. (The Howler turns back to Ron and blows a raspberry at him, then tears itself to pieces)",
Ron, Those are Nimbus Two-Thousand and Ones! How did you get those?,
Marcus Flint, A gift from Draco's father.,
Draco Malfoy," You see, Weasley, unlike some, my father can afford the best.",
Hermione, At least no one on the Gryffindor team had to buy their way in. They got in on pure talent.,
Draco Malfoy," [Annoyed] No one asked your opinion, you filthy little Mudblood.",
Ron," You'll pay for that one, Malfoy! Eat slugs!",
Hermione," You okay, Ron? [Ron's face turns green] Say something!",
Colin Creevey," [starts taking pictures of Ron] Wow! Can you turn him around, Harry?",
Harry Potter," No, Colin! Get out of the way. [he and Hermione help Ron to his feet] Let's take him to Hagrid. [Ron regurgitates another slug] He'll know what to do.",
Minerva McGonagall," Yes, Miss Granger?",
Hermione Granger," Professor, I was wondering if you'd tell us about the Chamber of Secrets.",
Professor Minerva McGonagall," [seeing everyone's faces] Very well. Well, you all knew, of course, that Hogwarts was founded over a thousand years ago, by the four greatest witches and wizards of the age",
Ron Weasley, [Sarcastic] Three guesses who.,
Professor Minerva McGonagall," Salazar Slytherin wished to be more selective about the students admitted to Hogwarts. He believed magical learning should be kept within all-magic families – in other words, ""pure-bloods"". Unable to sway the others, he decided to leave the school. Now according to legend, Slytherin had built a hidden chamber in this castle, known as the Chamber of Secrets. Though shortly before departing, he sealed it... until that time when his own true heir returned to the school. The heir alone would be able to open the chamber and unleash the horror within, and by so doing, purge the school of all those who, in Slytherin's view, were unworthy to study magic.",
Hermione Granger, Muggle-borns.,
Professor Minerva McGonagall," Well, naturally the school has been searched many times. No such chamber has been found.",
Hermione Granger," Professor, what exactly does legend tell us lies within the Chamber?",
Minerva McGonagall, Well the Chamber is said to be home to something that only the Heir of Slytherin can control. it is said to be the home... of a monster.,
Gilderoy Lockhart," Let me introduce my assistant... Professor Snape. [Snape grudgingly walks up onto the platform] He has sportingly agreed to help me with a short demonstration. Now, I don't want any of you youngsters to worry. You'll still have your Potions Master when I'm through with him! Never fear. [Lockhart and Snape approach each other, bow to each other, walk a fair distance apart and ready their wands.] One, two, three...",
Snape, Expelliarmus!,
Hermione, [concerned] Do you think he's all right?,
Ron, [laughs] Who cares?,
Gilderoy Lockhart," An excellent idea to show them that, Professor Snape! But if you don't mind me saying, it was pretty obvious, uh, what you were about to do. And if I had wanted to stop you, it would have been only too easy–",
Snape," [losing patience] Perhaps it would be prudent to first teach the students to block unfriendly spells, Professor?",
Gilderoy Lockhart," An excellent suggestion, Professor Snape. Uh... Let's have a volunteer pair. Uh, Potter, Weasley. How about you?",
Snape," Weasley's wand causes devastation with the simplest spells. He'd be sending Potter to the hospital wing in a matchbox. Might I suggest someone from my own house? Malfoy, perhaps?",
Draco Malfoy," Scared, Potter?",
Harry, You wish.,
Percy Weasley, Excuse me!,
Ron Weasley [as Vincent Crabbe]," What are you doing dow– [Harry hits him; Ron clears his throat and speaks more authoritatively] I mean, What are you doing down here?",
Percy Weasley," I happen to be a school Prefect. You, on the other hand, have no business wandering the corridors this time of night. What's your names again?",
Ron Weasley [as Vincent Crabbe], Uh...,
Harry Potter [as Gregory Goyle], I'm...,
Draco Malfoy," [Rounding a corner] Crabbe! Goyle! Where have you two been? Pigging out in the Great Hall all this time? [Looks oddly at Harry, who is still wearing his glasses] Why are you wearing glasses?",
Harry Potter [as Gregory Goyle], [Quickly removes his glasses] Um... Um... reading.,
Draco Malfoy," Reading? [Harry nods] I didn't know you could read. [Turns to Percy] And what are you doing down here, Weasley?",
Percy Weasley," Mind your attitude, Malfoy.",
Draco Malfoy," You'd never know the Weasleys were purebloods, the way they behave. They're an embarrassment to the wizarding world – all of them! [Ron (disguised as Crabbe) clenches his fist angrily] What's wrong with you, Crabbe?",
Ron, [gets nudged by Harry (disguised as Goyle)] Ahem... stomachache.,
Draco Malfoy," You know, I'm surprised that the Daily Prophet hasn't done a report on all these attacks. I suppose Dumbledore is trying to hush it all up. Father always said Dumbledore was the worst thing that ever happened to this place.",
Harry, You're wrong!,
Draco Malfoy," [sternly] What? You think there's someone here who's worse than Dumbledore? [""Goyle"" doesn't reply.] Well? Do you?",
Harry, [gulps] Harry Potter?,
Draco Malfoy," Good one, Goyle. You're absolutely right. Saint Potter. And people actually think that he's the Heir of Slytherin?",
Harry," Well, then, you must have some idea who's behind it all.",
Draco Malfoy," You know I don't, Goyle. I told you yesterday. How many times do I have to tell you? [picks up the package and shakes it] Is this yours? [Harry shakes his head] But, my father did say this",
Harry, It's his... stomachache.,
Myrtle, Come to throw something else at me?,
Harry, Why would I throw something at you?,
Myrtle," Don't ask me. Here I am, minding my own business, and someone thinks it's funny to throw a book at me.",
Ron," But it can't hurt if someone throws something at you. I mean, it'd just go right through you.",
Myrtle," [flies down at him furiously] SURE! Let's all throw books at Myrtle, because she can't feel it! Ten points if you get it through her stomach! [punches through Ron's] Fifty points if it goes through her HEAD! [punches through his]",
Harry," But who threw it at you, anyway?",
Myrtle," [more calmly] I don't know, I didn't see them. I was just sitting in the U-bend, thinking about death, [sighs] and it fell through the top of my head. Mm-hmm! [nods and floats away, sobbing]",
Harry, It was Hagrid. Hagrid opened the Chamber if Secrets 50 years ago.,
Hermoine, It can't be Hagrid. It just can't be.,
Ron, We don't even know this Tom Riddle. He sounds like a dirty rotten snitch to me.,
Harry," The monster had killed somebody, Ron. What would any of us have done?",
Hermione," Look, Hagrid is our friend, so why don't we just go and ask him?",
Ron," [Sarcastically] That will be a cheerful visit. ""Hello, Hagrid. Tell us, have you sent anything mad and hairy loose in the castle lately?""",
Hagrid," [Appears from behind] Mad and hairy? Yer wouldn't be talkin' about me, now are ya?",
"Harry, Ron, and Hermione", No!,
'Harry," [notices the canister of liquid Hagrid is carrying] What's that you've got, Hagrid?",
Hagrid," Oh, it's, uh, flesh-eating slug repellent. For the mandrakes, you know. Now, according to Professor Sprout, they’ve still got a bit of growing to do. But, once their acne’s been cleared up, we’ll be able to chop them and stew them, and then we’ll get those people down at the hospital un-petrified. In the meantime, though, you three... had best be looking after yourselves, all right? [turns and walks back where he came from; Neville starts running from in the direction Hagrid’s going] Hello, Neville.",
Neville," Harry, I don't know who did it, but you'd better come! Come on!",
Hagrid," [knowing that Harry and Ron are inside the hut, in the invisibility cloak] If... um... If anybody was looking for some stuff, then all they'd have to do would be to follow the spiders. Yep. That would leave them right. That's all I have to say. Oh, and someone will need to feed Fang while I'm away.",
Cornelius Fudge," [to Fang] Good boy. [He, Hagrid and Lucius Malfoy leave. Harry and Ron remove the cloak of invisibility.]",
Ron," Hagrid's right. With Dumbledore gone, there'll be an attack a day.",
Harry," Look. [sees a trail of spiders on Hagrid's window] Come on. [grabs a lantern] Come on, Fang. Come on.",
Ron, What?,
Harry," You heard what Hagrid said. ""Follow the spiders.""",
Ron," They're heading to the Dark Forest! [Harry ignores him] Why spiders?! Why couldn't be ""follow the butterflies""?! [follows Harry out the door]",
Aragog, Who is it?,
Harry, [to a terrified Ron] Don't panic.,
Aragog, Hagrid? Is that you?,
Harry," We're friends of Hagrid. [A colossal, tarantula-like spider emerges] You... You're Aragog, aren't you?",
Aragog, Yes. Hagrid has never sent men into our hollow before.,
Harry," Well, he's in trouble. Up at the school, there have been attacks. They think it's Hagrid. They think he opened the Chamber of Secrets, like before.",
Aragog, That's a lie! Hagrid never opened the Chamber of Secrets.,
Harry, Then you're not the monster?,
Aragog," No. The monster was born in the castle. I came to Hagrid from a distant land, in the pocket of a traveler.",
Ron, [noticing other giant spiders around them; whimpering] Harry...,
Harry," Shush. [to Aragog] Well, if you're not the monster, then what did kill that girl 50 years ago?",
Aragog, We do not speak of it! It is an ancient creature that we spiders fear above all others.,
Harry, But have you seen it?,
Aragog," I never saw any part of the castle but the box in which Hagrid kept me. The girl was discovered in a bathroom. When I was accused, Hagrid brought me here.",
Ron, [sounding like he's about to cry] Harry?,
Harry, [irritated] What?! [Ron points upwards in terror – giant spiders descend and surround them] [to Aragog] Well... thank you. We'll just go.,
Aragog," Go? I think not. My sons and daughters do not harm Hagrid on my command, but I cannot deny them fresh meat when it wanders so willingly into our midst. Goodbye, friends of Hagrid.",
Ron, [to Harry] Can we panic now? [the spiders move in for the attack] Know any spells?,
Harry, One – but it's not powerful enough for all of them.,
Ron, Where's Hermione when you need her?,
