Character,Dialogue
Harry, Voldemort killed my parents. He was nothing more than a murderer.
Harry, Let’s go.
Harry, Aah!
Harry, Sorry. Lost- lost control of the trolley. Why can’t we get through?
Harry, The train leaves at exactly eleven o’clock. We’ve missed it!
Harry, Maybe we should just go and wait by the car.
Harry," Ron, I should tell you, most Muggles aren’t accustomed to seeing a flying car."
Harry," Well come on, then. Let’s go lower. We need to find the train."
Harry, Now all we need to do is catch up with the train.
Harry, Do you hear that?
Harry, Hold on…
Harry, Wha-aahhh!
Harry, I’m trying. Your hand’s all sweaty.
Harry, I think we found the train.
Harry, Up! Up!
Harry, Up! Up! Ron! Mind that tree!
Harry, Ahh!
Harry, Be thankful it’s not your neck.
Harry, I don’t know.
Harry, Come on! Go! Fast!
Harry," See you, Hedwig. So, a house elf shows up in my bedroom, we can’t get through the barrier to platform nine and three-quarters, we almost get killed by a tree… clearly someone doesn’t want me here this year."
Harry, Professor Dumbledore. Professor McGonagall.
Harry, You’re doomed.
Harry," Oh- Hi, Colin. Nice to meet you."
Harry, Stop! Stop! Hold still!
Harry, Malfoy?
Harry," No, Colin! Get out of the way! Let’s take him to Hagrid’s."
Harry, He’ll know what to do.
Harry, Ah! Oh… Okay.
Harry," Malfoy. He called Hermione, …um, well, I don’t- I don’t know exactly what it means."
Harry, What’s a Mudblood?
Harry, That’s horrible!
Harry, Not really.
Harry, What?
Harry, That voice.
Harry, Didn’t you hear it?
Harry, Spooky.
Harry, Did you hear it?
Harry, That voice.
Harry, I heard it first in Lockhart’s office. And then again just—
Harry, It’s moving. I think it’s going to kill.
Harry, Strange. I’ve never seen spiders act like that.
Harry," Oh, no… It’s Filch’s cat. It’s Mrs. Norris."
Harry, No. No.
Harry," It’s not true sir, I swear. I never touched Mrs. Norris."
Harry, When I said I wasn’t hungry. We were heading back to the common room when we found Mrs. Norris.
Harry, Strange?
Harry," Do you think I should have told them? Dumbledore and the others, I mean?"
Harry," Well, if there really is a Chamber of Secrets, a-and it really has been opened, then that means---"
Harry," Well, maybe Ron’s right, Hermione. I mean, look at his family. The whole lot of them have been in Slytherin for centuries."
Harry," Well, how long will it take to make?"
Harry," A month? But, Hermione, if Malfoy is the Heir of Slytherin, he could attack half the Muggle-borns in the school by then."
Harry, Wood! Look out!
Harry, Thank you.
Harry," No, I think my- I think my arm’s broken."
Harry," No, not you."
Harry, Ugh!
Harry, Uh!
Harry, Dobby?
Harry, It was you… You stopped the barrier from letting Ron and me through.
Harry, You nearly got Ron and me expelled!
Harry, Your Bludger? You made that Bludger chase after me?
Harry," You’d better clear off before my bones come back, Dobby, or I might strangle you!"
Harry, I don’t suppose you could tell me why you’re trying to kill me?
Harry, Why do you wear that thing Dobby?
Harry, Repeat itself? You mean this has happened before?
Harry," Dobby, stop it! Stop it! Stop, Dobby! Tell me, Dobby. When did this happen before? Who’s doing it now?"
Harry," Thank you, sir."
Harry, You wish.
Harry, Rictusempra!
Harry, Sya- hassa- she. Sya- hasi- heth. Sya- hasi- heth.
Harry, I’m a what?
Harry," I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. Uh, once! But, so what? I bet loads of people here can do it."
Harry, What’s bad? If I hadn’t told that snake not to attack Justin.
Harry, You were there! You heard me!
Harry, I spoke a different language? But- I didn’t realize I- how can I speak a language without knowing I can?
Harry, But I’m not… I can’t be.
Harry, I’ll see you back in the common room.
Harry, No! Mr. Filch! Y-you- you don’t understand!
Harry, Professor… I swear I didn’t!
Harry, Professor Dumbledore?
Harry, I… I-I was- I was just wondering if you’d put me in the right house.
Harry, You’re wrong.
Harry," Professor! Sir, your bird- there was nothing I could do- he- he just caught fire!"
Harry," You don’t think it was me, Professor?"
Harry," No, sir. Nothing."
Harry," Ron, maybe I should do it?"
Harry, Wingardium leviosa. Here they come.
Harry, Come on. Let’s get ‘em.
Harry, Ughh!
Harry," Hermione, come out. We’ve got loads to tell you!"
Harry, Hermione? A- are you OK?
Harry," She should be out of hospital in a few days, when she stops coughing up fur balls… What’s this?"
Harry, Looks like Moaning Myrtle’s flooded the bathroom.
Harry, Why would I throw something at you?
Harry," But, who threw it at you, anyway?"
Harry, ‘Tom Marvolo Riddle.’
Harry, ‘My name is Harry Potter.’
Harry, ‘Can you tell me?’
Harry, Excuse me. Could you tell me what’s going on here? Are you Tom Riddle?
Harry, Dumbledore?
Harry, Hagrid! Haagriid!
Harry, Woah!
Harry, It was Hagrid. Hagrid opened the Chanter of Secrets fifty years ago.
Harry," The monster had killed somebody, Ron. What would any of us have done?"
Harry," W- what’s that you’ve got, Hagrid?"
Harry, And they found it. Tom Riddle’s diary is gone.
Harry, No.
Harry," We’ve got to talk to Hagrid, Ron. I can’t believe it’s him, but if he did set the monster loose last time, he’ll know how to get inside the Chamber of Secrets, and that’s a start."
Harry, I think it’s time to get my Dad’s old cloak out again.
Harry, What’s that for?
Harry," Hagrid, are you okay?"
Harry, Did you hear about Hermione?
Harry," Look, we have to ask you something. Do you know who’s opened the Chamber of Secrets?"
Harry," Look! Well, come on. Come on, Fang!"
Harry, You heard what Hagrid said; ‘Follow the spiders.’
Harry, Shush!
Harry, Come on!
Harry, Don’t panic.
Harry, We’re friends of Hagrid’s. And you? Y- y-you’re Aragog aren’t you?
Harry," He’s in trouble. Up at the school, there have been attacks. They think it’s Hagrid. They think he opened the Chamber of Secrets, like before."
Harry, Then you’re not the monster.
Harry," Shush. But if you’re not the monster, then- then what did kill that girl fifty years ago?"
Harry, But have you seen it?
Harry, What?
Harry," One, but it’s not powerful enough for all of them."
Harry, Let’s go! Arania exumai! Go!
Harry, Arania exumai!
Harry, Don’t mention it. Get us out of here. Now! Come on! Come on! Move faster!
Harry, Go on! Go! Get us in the air.
Harry, Come on! Pull!
Harry, We know one thing. Hagrid never opened the Chamber of Secrets. He was innocent.
Harry," Wish you were here Hermione. We need you… now, more than ever."
Harry," Ron, this is why Hermione was in the Library the day she was attacked. Come on!"
Harry," ‘Of the many fearsome beasts that roam our land, none is more deadly than the basilisk. Capable of living for hundreds of years, instant death awaits any who meet this giant serpent’s eye. Spiders flee before it.’ Ron, this is it. The monster in the Chamber of Secrets is a basilisk. That’s why I can hear it speak. It’s a snake!"
Harry," Because no one did look it in the eye. Not directly, at least. Colin saw it through his camera. Justin…Justin must have seen the basilisk through Nearly Headless Nick. Nick got the full blast of it- but he’s a ghost- he couldn’t die again. And Hermione…had the mirror. I bet you anything she was using it to look around corners, in case it came along."
Harry, The water. There was water on the floor that night. She only saw the basilisk’s reflection. ‘Spiders flee before it.’ It all fits!
Harry," Hermione’s answered that, too."
Harry," Remember what Aragog said, about that girl fifty years ago? She died in a bathroom? What if she never left?"
Harry," Lockhart may be useless, but he’s going to try and get into the Chamber. At least we can tell him what we know."
Harry," Professor, we have some information for you! Are you going somewhere?"
Harry, You’re running away? After all that stuff you did in your books?
Harry, You wrote them!
Harry, Don’t even think about it.
Harry, To ask you how you died.
Harry, Who was it Myrtle?
Harry," This is it. This is it, Ron. I think this is the entrance to the Chamber of Secrets."
Harry, Hesha- Hassah.
Harry," Oh, yes there is! You first."
Harry, All right. Let’s go.
Harry, Uh…thanks Myrtle.
Harry," Now remember, any sign of movement, close your eyes straightaway."
Harry, It’s a snakeskin.
Harry," Ron! Ron, are you ok?"
Harry, You wait here and try and shift some of this rock so we can get back through. I’ll go on and find Ginny!
Harry, Hesha- Hassah.
Harry," Ginny… Ginny! Oh, Ginny, please don’t be dead. Wake up. Wake up! Please, wake up!"
Harry," Tom. Tom Riddle! What do you mean, ‘she won’t wake?’ She’s not…?"
Harry, Are you a ghost?
Harry," She’s cold as ice. Ginny, please don’t be dead. Wake up! You’ve got to help me, Tom. There’s a basilisk."
Harry," Give me my wand, Tom."
Harry," Listen, we’ve got to go! We’ve got to save her!"
Harry, No. She couldn’t. She wouldn’t!
Harry, But why?
Harry," But, why did you want to meet me?"
Harry," Hagrid’s my friend! And you framed him, didn’t you?"
Harry, I’ll bet Dumbledore saw right through you.
Harry," Well, you haven’t finished it this time. In a few hours, the Mandrake Draught will be ready, and everyone who was Petrified will be all right again."
Harry, Why do you care how I escaped? Voldemort was after your time.
Harry, You! You’re the Heir of Slytherin. You’re Voldemort.
Harry, Albus Dumbledore is the greatest sorcerer in the world!
Harry, He’ll never be gone! Not as long as those who remain are loyal to him! Fawkes?
Harry, Ginny-
Harry, Ginny…
Harry," Don’t worry. Ginny, you need to get yourself out. Follow the Chamber, and you’ll find Ron. You were brilliant, Fawkes. I just wasn’t quick enough… Of course! Phoenix tears have healing powers. Thanks! It’s alright, Ginny. It’s over. It’s just a memory."
Harry," It’s just… You see, sir I- I couldn’t help but notice certain things, certain- certain similarities, between Tom Riddle and me."
Harry, Voldemort transferred some of his powers… to me?
Harry, So the Sorting Hat was right! I should be in Slytherin.
Harry, Because I asked it to.
Harry, Godric Gryffindor.
Harry, Don’t worry. I will be.
Harry," Sir, I wonder if I could have that?"
Harry, Mr. Malfoy! Mr. Malfoy! I have something of yours.
Harry," Oh, I think you do, sir. I think you slipped the diary into Ginny Weasley’s cauldron, that day at Diagon Alley."
Harry, Open it.
Harry, Just promise me something.
Harry, Never try to save my life again.
Harry," Well, we had loads of help from you. We couldn’t have done it without you."
Harry," Well, there’s no Hogwarts without you, Hagrid."
Harry, Ron!
Harry, We still sound like ourselves. You need to sound more like Crabbe.
Harry, Excellent.
Harry," Hermione, are you okay?"
Harry, Come on.
Harry, I think the Slytherin common room’s this way.
Harry, I’m…
Harry, Ah- um… Reading.
Harry, Uh-huh.
Harry, You’re wrong!
Harry, Harry Potter? (gulp)
Harry, But then you must have some idea who’s behind it all.
Harry, It’s his… stomachache. Calm down.
Harry, Hair!
Harry," I can’t let you out, Hedwig. I’m not allowed to use magic outside of school. Besides, if Uncle Vernon…"
Hermione, Harry! Hagrid!
Hermione," Oh, it’s so good to see you!"
Hermione, What did you do to your glasses? Oculus reparo.
Hermione, Ok! Bye!
Hermione, Come on! Everyone’s been so worried.
Hermione, Fear of a name only increase fear of the thing itself.
Hermione," Mandrake, or Mandragora, is used to return those who have been Petrified to their original state. It’s also quite dangerous. The Mandrake’s cry is fatal to anyone who hears it."
Hermione, Get off me!
Hermione, Immobulus!
Hermione, At least no one on the Gryffindor team had to buy their way in. They got it on pure talent.
Hermione," You okay, Ron? Say something!"
Hermione, He called me a Mudblood.
Hermione, It means “dirty blood.” Mudblood’s a really foul name for someone who is Muggle-born. Someone with non-magic parents. Someone like me. It’s not a term one usually hears in civilized conversation.
Hermione, Harry!
Hermione, Voice? What voice?
Hermione," Harry, wait! Not so fast!"
Hermione, ‘The Chamber of Secrets has been opened… enemies the heir… beware.’ It’s written in blood.
Hermione," That’s why Ron and I went looking for him, Professor. We’d just found him when he said…"
Hermione," It’s a bit strange, isn’t it?"
Hermione," You hear this voice, a voice only you can hear, and then Mrs. Norris turns up Petrified. It’s just… strange."
Hermione," No, Harry. Even in the wizarding world, hearing voices isn’t a good sign."
Hermione," Professor, I was wondering if you could tell us about…the Chamber of Secrets?"
Hermione, Muggle-borns.
Hermione, Professor? What exactly does legend tell us lies within the Chamber?
Hermione, Yes. Couldn’t you tell? McGonagall’s worried. All the teachers are.
Hermione," The Heir of Slytherin has returned to Hogwarts. The question is, who is it?"
Hermione, If you’re talking about Malfoy.
Hermione," I heard him. But Malfoy, the Heir of Slytherin?"
Hermione," Even they aren’t that thick. But there might be another way. Mind you, it would be difficult. Not to mention, we would be breaking about fifty school rules. And, it’ll be dangerous. Very dangerous."
Hermione," Here it is. ‘The Polyjuice Potion.’ (Reading from Moste Potente Potions) ‘Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.’ RON Do you mean, if Harry and I drink that stuff, we’ll turn into Crabbe and Goyle?"
Hermione, Yes.
