"character","book","element_id","sentence_id","text"
"harry","chamber_of_secrets",19,150," ""Well then, I can't think who else would have a chance of making horrible things happen at Hogwarts,"" said Harry."
"harry","chamber_of_secrets",19,178," ""I expect they've just been - wait a minute,"" said Harry, frowning."
"harry","chamber_of_secrets",19,197,"  ""No,"" said Harry angrily."
"harry","chamber_of_secrets",19,225,"(""Just our nephew - very disturbed  meeting strangers upsets him, so we kept him upstairs	) He  shooed the shocked Masons back into the dining room, promised Harry he would flay him to within an inch of his life when the Ma sons had left, and handed him a mop."
"uncle","chamber_of_secrets",19,242," ""You didn't tell us you weren't allowed to use magic outside school,"" said Uncle Vernon, a mad gleam dancing in his eyes."
"harry","chamber_of_secrets",19,269," ""It's no good turning your beak up at it - that's all we've got,"" said Harry grimly."
"harry","chamber_of_secrets",19,278,"He saw Dobby's face in the crowd and shouted out, asking for help, but Dobby called, ""Harry Potter is safe there, sir!"""
"harry","chamber_of_secrets",20,1,"THE BURROW  Ron.l"" breathed Harry, creeping to the window and pushing it up so they could talk through the bars."
"ron","chamber_of_secrets",20,11,"  ""He works for the Ministry,"" said Ron."
"harry","chamber_of_secrets",20,12,"""You know we're not supposed to do spells outside school -""  ""You should talk,"" said Harry, staring at the floating car."
"ron","chamber_of_secrets",20,13," ""Oh, this doesn't count,"" said Ron."
"ron","chamber_of_secrets",20,16,"But doing magic in front of those Muggles you live with -""  ""I told you, I didn't - but it'll take too long to explain now look, can you tell them at Hogwarts that the Dursleys have locked me up and won't let me come back, and obviously I can't magic myself out, because the Ministry'Il think that's the second spell I've done in three days, so -""  ""Stop gibbering,"" said Ron."
"ron","chamber_of_secrets",20,18,"  ""But you can't magic me out either -""  ""We don't need to,"" said Ron, jerking his head toward the front seat and grinning."
"fred","chamber_of_secrets",20,20,"  ""Tie that around the bars,"" said Fred, throwing the end of a rope to Harry."
"harry","chamber_of_secrets",20,21," ""If the Dursleys wake up, I'm dead,"" said Harry as he tied the rope tightly around a bar and Fred revved up the car."
"fred","chamber_of_secrets",20,22," ""Don't worry,"" said Fred, ""and stand back."""
"george","chamber_of_secrets",20,31,"   ""Locked in the cupboard under the stairs, and I can't get out of this room -""  ""No problem,"" said George from the front passenger seat."
"fred","chamber_of_secrets",20,35," ""A lot of wizards think it's a waste of time, knowing this sort of Muggle trick,"" said Fred, ""but we feel they're skills worth learning, even if they are a bit slow."""
"george","chamber_of_secrets",20,37," ""So - we'll get your trunk - you grab anything you need from your room and hand it out to Ron,"" whispered George."
"ron","chamber_of_secrets",20,68," ""Let Hedwig out,"" he told Ron."
"fred","chamber_of_secrets",20,77," ""Very fishy,"" said Fred finally."
"george","chamber_of_secrets",20,78," ""Definitely dodgy"" agreed George."
"harry","chamber_of_secrets",20,80,"  ""I don't think he could,"" said Harry."
"fred","chamber_of_secrets",20,85," ""Well,"" said Fred, ""put it this way - house-elves have got powerful magic of their own, but they can't usually use it without their master's permission."
"harry","chamber_of_secrets",20,89,"  ""Yes,"" said Harry and Ron together, instantly."
"george","chamber_of_secrets",20,97,"  Y.  ""I've heard Dad talking about him,"" said George."
"fred","chamber_of_secrets",20,99,"  ""And when You-Know-Who disappeared,"" said Fred, craning around to look at Harry, ""Lucius Malfoy came back saying he'd never meant any of it."
"harry","chamber_of_secrets",20,103," ""I don't know whether the Malfoys own a house-elf	said  Harry."
"fred","chamber_of_secrets",20,104," ""Well, whoever owns him will be an old wizarding family, and they'll be rich,"" said Fred."
"george","chamber_of_secrets",20,105," ""Yeah, Mum's always wishing we had a house-elf to do the ironing,"" said George."
"ron","chamber_of_secrets",20,115," ""I'm glad we came to get you, anyway,"" said Ron."
"fred","chamber_of_secrets",20,122,"  ""The owl Mum and Dad bought Percy when he was made prefect,"" said Fred from the front."
"ron","chamber_of_secrets",20,123," ""But Percy wouldn't lend him to me,"" said Ron."
"george","chamber_of_secrets",20,125,"  ""Percy's been acting very oddly this summer,"" said George, frowning."
"ron","chamber_of_secrets",20,132," ""Er, no,"" said Ron, ""he had to work tonight."
"ron","chamber_of_secrets",20,135,"  ""He works in the most boring department,"" said Ron."
"george","chamber_of_secrets",20,149,"  ""That's the main road,"" said George, peering down through the windshield."
"george","chamber_of_secrets",20,157," ""We're a little way outside the village,"" said George."
"ron","chamber_of_secrets",20,169," ""It's not much,"" said Ron."
"harry","chamber_of_secrets",20,170," ""It's wonderful,"" said Harry happily, thinking of Privet Drive."
"fred","chamber_of_secrets",20,172," ""Now, we'll go upstairs really quietly,"" said Fred, ""and wait for Mum to call us for breakfast Then, Ron, you come bounding downstairs going, `Mum, look who turned up in the night!'"
"ron","chamber_of_secrets",20,174,"  ""Right,"" said Ron."
"fred","chamber_of_secrets",20,178," ""Ah, ""said Fred."
"george","chamber_of_secrets",20,179," ""Oh, dear,"" said George."
"george","chamber_of_secrets",20,183," ""Morning, Mum,"" said George, in what he clearly thought was a jaunty, winning voice."
"fred","chamber_of_secrets",20,190,"- never, as long as I've lived - you wait until your father gets home, we never had trouble like this from Bill or Charlie or Percy -""  ""Perfect Percy,"" muttered Fred."
"harry","chamber_of_secrets",20,207,"  ""I don't blame you, dear,"" she assured Harry, tipping eight or nine sausages onto his plate."
"ron","chamber_of_secrets",20,220," ""Ginny,"" said Ron in an undertone to Harry."
"fred","chamber_of_secrets",20,225," ""Blimey, I'm tired,"" yawned Fred, setting down his knife and fork at last."
"fred","chamber_of_secrets",20,244,"  ""Mum fancies him,"" said Fred, in a very audible whisper."
"ron","chamber_of_secrets",20,250," ""Muggles have garden gnomes, too, you know,"" Harry told Ron  they crossed the lawn."
"ron","chamber_of_secrets",20,251," ""Yeah, I've seen those things they think are gnomes,"" said Ron, bent double with his head in a peony bush, ""like fat little Santa Clauses with fishing rods ."
"fred","chamber_of_secrets",20,268," ""Pitiful,"" said Fred."
"george","chamber_of_secrets",20,273," ""See, they're not too bright,"" said George, seizing five or six gnomes at once."
"ron","chamber_of_secrets",20,277," ""They'll be back,"" said Ron as they watched the gnomes disappear into the hedge on the other side of the field."
"ron","chamber_of_secrets",20,338," ""Ginny,"" said Ron."
"ron","chamber_of_secrets",20,346," ""The Chudley Cannons,"" said Ron, pointing at the orange bedspread, which was emblazoned with two giant black C's and a speeding cannonball."
"ron","chamber_of_secrets",20,353," ""It's a bit small,"" said Ron quickly."
"george","chamber_of_secrets",21,28," ""That lot won't come cheap,"" said George, with a quick look at his parents."
"percy","chamber_of_secrets",21,37," ""Morning, all,"" said Percy briskly."
"fred","chamber_of_secrets",21,63," ""Wish I knew what he was up to,"" said Fred, frowning."
"george","chamber_of_secrets",21,73," ""Dunno how Mum and Dad are going to afford all our school stuff this year,"" said George after a while."
"ron","chamber_of_secrets",21,91," ""He's never traveled by Floo powder,"" said Ron suddenly."
"fred","chamber_of_secrets",21,100,"""Floo powder's a lot quicker, dear, but goodness me, if you've never used it before -""  ""He'll be all right, Mum,"" said Fred."
"harry","chamber_of_secrets",21,105," * 41  ""You must speak clearly, dear,"" Mrs. Weasley told Harry as George dipped his hand into the flowerpot."
"ron","chamber_of_secrets",21,117,"""The soot -""  ""Don't fidget,"" said Ron."
"draco","chamber_of_secrets",21,180,"  ""I hope my son will amount to more than a thief or a plunderer, Borgin,"" said Mr. Malfoy coldly, and Mr. Borgin said quickly, ""No offense, sir, no offense meant -""  ""Though if his grades don't pick up,"" said Mr. Malfoy, more coldly still, ""that may indeed be all he is fit for -""  ""It's not my fault,"" retorted Draco."
"harry","chamber_of_secrets",21,228,"""Skulkin' around Knockturn Alley, I dunno dodgy place, Harry - don' want no one ter see yeh down there -""  ""I realized that,"" said Harry, ducking as Hagrid made to brush him off again."
"harry","chamber_of_secrets",21,250,"  ""As soon as I've found the Weasleys,"" said Harry."
"ron","chamber_of_secrets",21,261," ""We've never been allowed in,"" said Ron enviously."
"harry","chamber_of_secrets",21,318,""" Ron told Harry and Hermione in an undertone as they left Percy to it."
"ron","chamber_of_secrets",21,343,"""This is for the Daily Prophet -""  ""Big deal,"" said Ron, rubbing his foot where the photographer had stepped on it."
"malfoy","chamber_of_secrets",21,369," ""Famous Harry Potter,"" said Malfoy."
"ron","chamber_of_secrets",21,378," ""Oh, it's you,"" said Ron, looking at Malfoy as if he were something unpleasant on the sole of his shoe."
"malfoy","chamber_of_secrets",21,380,"  ""Not as surprised as I am to see you in a shop, Weasley,"" retorted Malfoy."
"fred","chamber_of_secrets",21,422,"what Gilderoy Lockhart must've thought -""  ""He was pleased,"" said Fred."
"harry","chamber_of_secrets",22,33," ""I'll take Ginny and you two come right after us,"" Mrs. Weasley told Harry and Ron, grabbing Ginny's hand and setting off."
"ron","chamber_of_secrets",22,58," ""It's gone,"" said Ron, sounding stunned."
"ron","chamber_of_secrets",22,65," ""Check that no one's watching,"" said Ron, starting the ignition with another tap of his wand."
"ron","chamber_of_secrets",22,74," ""Uh-oh,"" said Ron, jabbing at the Invisibility Booster."
"ron","chamber_of_secrets",22,82," ""We need to see the train to know what direction to go in,"" said Ron."
"ron","chamber_of_secrets",22,88," ""Due north,"" said Ron, checking the compass on the dashboard."
"ron","chamber_of_secrets",22,92,"The wheels of the car skimmed the sea of fluffy cloud, the sky a bright, endless blue under the blinding white sun.  ""All we've got to worry about now are airplanes,"" said Ron."
"ron","chamber_of_secrets",22,110," ""It's probably just tired,"" said Ron."
"ron","chamber_of_secrets",22,115,"""Not far,"" said Ron, more to the car than to Harry, ""not far now,"" and he patted the dashboard nervously."
"ron","chamber_of_secrets",22,132," ""Uh-oh,"" said Ron, into the silence."
"ron","chamber_of_secrets",22,146," ""My wand,"" said Ron, in a shaky voice."
"ron","chamber_of_secrets",22,155,"said Ron as another twisted limb punched a large dent into his door; the windshield was now trembling under a hail of blows from knuckle-like twigs and a branch as thick as a battering ram was pounding furiously on the roof, which seemed to be caving  ""Run for it!"""
"harry","chamber_of_secrets",22,174," ""Come on,"" said Harry wearily, ""we'd better get up to the school ......"
"ron","chamber_of_secrets",22,177," ""I think the feast's already started,"" said Ron, dropping his trunk at the foot of the front steps and crossing quietly to look through a brightly lit window."
"ha","chamber_of_secrets",22,204," ""Maybe he's left,"" said Ha-rry, ""because he missed out on the Defense Against Dark Arts job again!"""
"snape","chamber_of_secrets",22,211," ""Follow me,"" said Snape."
"professor","chamber_of_secrets",22,267," ""I - I didn't think -""  ""That,"" said Professor McGonagall, ""is obvious."""
"ron","chamber_of_secrets",22,281," ""We'll go and get our stuff,"" said Ron in a hopeless sort of voice."
"dumbledore","chamber_of_secrets",22,287," ""Not today, Mr. Weasley,"" said Dumbledore."
"professor","chamber_of_secrets",22,292,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly."
"dumbledore","chamber_of_secrets",22,292,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly."
"ron","chamber_of_secrets",22,298,"""Not much,"" said Ron, hastily wiping the cut over his eye with his sleeve."
"professor","chamber_of_secrets",22,299,"""Professor, I wanted to watch my sister being Sorted -"" ""The Sorting Ceremony is over,"" said Professor McGonagall."
"ron","chamber_of_secrets",22,301,"""Oh, good,"" said Ron."
"harry","chamber_of_secrets",22,317," ""So did I,"" said Harry, taking one, too."
"ron","chamber_of_secrets",22,326," ""She didn't want us showing off,"" said Ron sagely."
"harry","chamber_of_secrets",22,333," ""Er -"" said Harry."
"ron","chamber_of_secrets",22,340," ""Skip the lecture,"" said Ron impatiently, ""and tell us the new password."""
"hermione","chamber_of_secrets",22,341,"  ""It's `wattlebird,""' said Hermione impatiently, ""but that's not the point - ""  Her words were cut short, however, as the portrait of the fat lady swung open and there was a sudden storm of clapping."
"dean","chamber_of_secrets",22,363," ""Cool,"" said Dean."
"neville","chamber_of_secrets",22,364," ""Amazing,"" said Neville, awestruck."
"harry","chamber_of_secrets",23,5,"There was a slight stiffness in the way she said ""Morning,"" which told Harry that she was still disapproving of the way they had arrived."
"hermione","chamber_of_secrets",23,15," ""It's all right, he's still alive,"" said Hermione, prodding Errol gently with the tip of her finger."
"ron","chamber_of_secrets",23,21," ""She's - she's sent me a Howler,"" said Ron faintly."
"neville","chamber_of_secrets",23,22," ""You'd better open it, Ron,"" said Neville in a timid whisper."
"hermione","chamber_of_secrets",23,109," s1  ""Mandrake, or Mandragora, is a powerful restorative,"" said Hermione, sounding as usual as though she had swallowed the textbook."
"professor","chamber_of_secrets",23,112,"Ten points to Gryffindor,"" said Professor Sprout."
"professor","chamber_of_secrets",23,119,"Take another ten points,"" said Professor Sprout."
"professor","chamber_of_secrets",23,124," ""Everyone take a pair of earmuffs,"" said Professor Sprout."
"professor","chamber_of_secrets",23,126," ""When I tell you to put them on, make sure your ears are completely covered,"" said Professor Sprout."
"ron","chamber_of_secrets",23,180," ""Oh, yeah, and get another Howler back,"" said Ron, stuffing the now hissing wand into his bag."
"hermione","chamber_of_secrets",23,184," ""Defense Against the Dark Arts,"" said Hermione at once."
"ron","chamber_of_secrets",23,185," ""Why, ""demanded Ron, seizing her schedule, ""have you outlined all Lockhart's lessons in little hearts?"""
"colin","chamber_of_secrets",23,199," ""So I can prove I've met you,"" said Colin Creevey eagerly, edging further forward."
"harry","chamber_of_secrets",23,216,"  ""No, I'm not,"" said Harry angrily, his fists clenching."
"ron","chamber_of_secrets",23,225," ""Eat slugs, Malfoy,"" said Ron angrily."
"malfoy","chamber_of_secrets",23,227," ""Be careful, Weasley,"" sneered Malfoy."
"ron","chamber_of_secrets",23,254," ""You could've fried an egg on your face"" said Ron."
"hermione","chamber_of_secrets",23,337," ""He just wants to give us some hands-on experience,"" said Hermione, immobilizing two pixies at once with a clever Freezing Charm and stuffing them back into their cage."
"harry","chamber_of_secrets",23,339,"""said Harry, who was trying to grab a pixie dancing out of reach with its tongue out."
"hermione","chamber_of_secrets",23,340,"""Hermione, he didn't have a clue what he was doing -""  ""Rubbish,"" said Hermione."
"harry","chamber_of_secrets",24,7," ""No,"" said Harry flatly, glancing around to check that the room was really deserted."
"colin","chamber_of_secrets",24,24," ""I don't really understand Quidditch,"" said Colin breathlessly."
"harry","chamber_of_secrets",24,27,"  ""Yes,"" said Harry heavily, resigned to explaining the complicated rules of Quidditch."
"harry","chamber_of_secrets",24,35,"  ""And the fourth ball -""  ""- is the Golden Snitch,"" said Harry, ""and it's very small, very fast, and difficult to catch."
"harry","chamber_of_secrets",24,40," ""Yes,"" said Harry as they left the castle and started across the dew- drenched grass."
"george","chamber_of_secrets",24,61,"  ""I've got a question, Oliver,"" said George, who had woken with a start."
"harry","chamber_of_secrets",24,79," ""Haven't even started,"" said Harry, looking jealously at the toast and marmalade Ron and Hermione had brought out of the Great Hall."
"harry","chamber_of_secrets",24,100,"  ""He's in Gryffindor,"" said Harry quickly."
"george","chamber_of_secrets",24,101," ""And the Slytherins don't need a spy, Oliver,"" said George."
"george","chamber_of_secrets",24,104," ""Because they're here in person,"" said George, pointing."
"malfoy","chamber_of_secrets",24,151," ""I'm the new Slytherin Seeker, Weasley,"" said Malfoy, smugly."
"hermione","chamber_of_secrets",24,159," ""At least no one on the Gryffindor team had to buy their way in,"" said Hermione sharply."
"harry","chamber_of_secrets",24,179," ""We'd better get him to Hagrid's, it's nearest,"" said Harry to Hermione, who nodded bravely, and the pair of them pulled Ron up by the arms."
"colin","chamber_of_secrets",24,186," ""Oooh,"" said Colin, fascinated and raising his camera."
"hermione","chamber_of_secrets",24,191," ""Nearly there, Ron,"" said Hermione as the gamekeeper's cabin came into view."
"hermione","chamber_of_secrets",24,210,"  ""I don't think there's anything to do except wait for it to stop,"" said Hermione anxiously, watching Ron bend over the basin."
"hermione","chamber_of_secrets",24,229,"  ""Malfoy called Hermione something - it must've been really bad, because everyone went wild."""
"ron","chamber_of_secrets",24,230,"  ""It was bad,"" said Ron hoarsely, emerging over the tabletop looking pale and sweaty."
"ron","chamber_of_secrets",24,237,"I could tell it was really rude, of course -""  ""It's about the most insulting thing he could think of,"" gasped Ron, coming back up."
"ron","chamber_of_secrets",24,244," ""It's a disgusting thing to call someone,"" said Ron, wiping his sweaty brow with a shaking hand."
"harry","chamber_of_secrets",24,267,"  ""Bet he didn't like that,"" said Harry, sitting up and rubbing his chin."
"ron","chamber_of_secrets",24,272," ""No thanks,"" said Ron weakly."
"harry","chamber_of_secrets",24,296,"""If yeh ask me, she wouldn' say no ter a signed -""  ""Oh, shut up,"" said Harry."
"professor","chamber_of_secrets",24,307," ""You will be polishing the silver in the trophy room with Mr. Filch,"" said Professor McGonagall."
"professor","chamber_of_secrets",24,311," ""And you, Potter, will be helping Professor Lockhart answer his fan mail,"" said Professor McGonagall."
"professor","chamber_of_secrets",24,314," ""Certainly not,"" said Professor McGonagall, raising her eyebrows."
"ron","chamber_of_secrets",24,320," ""Filch'll have me there all night,"" said Ron heavily."
"harry","chamber_of_secrets",24,324,"  ""I'd swap anytime,"" said Harry hollowly."
"harry","chamber_of_secrets",24,362,"  ""No,"" said Harry frantically."
"harry","chamber_of_secrets",25,25,"  ""I know,"" said Harry, lying back in his four-poster and staring at the canopy above him."
"harry","chamber_of_secrets",25,47,"  ""Hello, Nick,"" said Harry."
"nick","chamber_of_secrets",25,51," ""You look troubled, young Potter,"" said Nick, folding a transparent letter as he spoke and tucking it inside his doublet."
"harry","chamber_of_secrets",25,52," ""So do you,"" said Harry."
"harry","chamber_of_secrets",25,63,"   ""Oh - yes,"" said Harry, who was obviously supposed to agree."
"harry","chamber_of_secrets",25,74,"  ""No,"" said Harry."
"nick","chamber_of_secrets",25,78," ""You'd better get out of here, Harry,"" said Nick quickly."
"harry","chamber_of_secrets",25,80,"He's been cleaning all morning, and if he sees you dripping mud all over the place -""   ""Right,"" said Harry, backing away from the accusing stare of Mrs. Norris, but not quickly enough."
"nick","chamber_of_secrets",25,189," ""I persuaded Peeves to crash it right over Filch's office,"" said Nick eagerly."
"nick","chamber_of_secrets",25,199," ""But there is something you could do for me,"" said Nick excitedly."
"harry","chamber_of_secrets",25,203," ""Oh,"" said Harry, not sure whether he should look sorry or happy about this."
"harry","chamber_of_secrets",25,210," ""No,"" said Harry quickly, ""I'll come -""  ""My dear boy!"
"harry","chamber_of_secrets",25,213,"  ""Of - of course,"" said Harry."
"harry","chamber_of_secrets",25,232," ""A promise is a promise,"" Hermione reminded Harry bossily."
"ron","chamber_of_secrets",25,256," ""Careful not to walk through anyone,"" said Ron nervously, and they set off around the edge of the dance floor."
"hermione","chamber_of_secrets",25,259,"  ""Oh, no,"" said Hermione, stopping abruptly."
"hermione","chamber_of_secrets",25,262," ""She haunts one of the toilets in the girls' bathroom on the first floor,"" said Hermione."
"hermione","chamber_of_secrets",25,275,"  ""I expect they've let it rot to give it a stronger flavor,"" said Hermione knowledgeably, pinching her nose and leaning closer to look at the putrid haggis."
"ron","chamber_of_secrets",25,277,"I feel sick,"" said Ron."
"harry","chamber_of_secrets",25,279," ""Hello, Peeves,"" said Harry cautiously."
"hermione","chamber_of_secrets",25,284," ""No thanks,"" said Hermione."
"hermione","chamber_of_secrets",25,300," ""Just saying - saying - how nice you look tonight,"" said Hermione, glaring at Peeves."
"hermione","chamber_of_secrets",25,314,"  ""Oh, dear,"" said Hermione sadly."
"nick","chamber_of_secrets",25,340," ""Welcome, Patrick,"" said Nick stiffly."
"harry","chamber_of_secrets",25,347,"But I mean to say - look at the fellow -""  ""I think,"" said Harry hurriedly, at a meaningful look from Nick, ""Nick's very - frightening and - er -""  ""Ha!"""
"ron","chamber_of_secrets",25,362," ""Pudding might not be finished yet,"" said Ron hopefully, leading the way toward the steps to the entrance hall."
"ron","chamber_of_secrets",25,439," ""Trust me,"" said Ron."
"dumbledore","chamber_of_secrets",26,22," *140*  ""My office is nearest, Headmaster - just upstairs - please feel free -""  ""Thank you, Gilderoy,"" said Dumbledore."
"dumbledore","chamber_of_secrets",26,52,"  ""She has been Petrified,"" said Dumbledore (""Ah!"
"dumbledore","chamber_of_secrets",26,61," ""No second year could have done this,"" said Dumbledore firmly."
"snape","chamber_of_secrets",26,74,"  ""If I might speak, Headmaster,"" said Snape from the shadows, and Harry's sense of forboding increased; he was sure nothing Snape had to say was going to do him any good."
"ron","chamber_of_secrets",26,91,"  ""We weren't hungry,"" said Ron loudly as his stomach gave a huge rumble."
"professor","chamber_of_secrets",26,96,"  ""Really, Severus,"" said Professor McGonagall sharply, ""I see no reason to stop the boy playing Quidditch."
"dumbledore","chamber_of_secrets",26,107,"  ""We will be able to cure her, Argus,"" said Dumbledore patiently."
"snape","chamber_of_secrets",26,112,"I could whip up a Mandrake Restorative Draught in my sleep -""  ""Excuse me,"" said Snape icily."
"ron","chamber_of_secrets",26,120,"  ""No,"" said Ron, without hesitation."
"ron","chamber_of_secrets",26,123,"  ""'Course I do,"" said Ron quickly."
"harry","chamber_of_secrets",26,125," ""I know it's weird,"" said Harry."
"ron","chamber_of_secrets",26,130,"  ""You know, it rings a sort of bell,"" said Ron slowly."
"harry","chamber_of_secrets",26,148," ""Midnight,"" said Harry."
"ron","chamber_of_secrets",26,171,"  ""I don't believe it, I'm still eight inches short	said Ron fu  riously, letting go of his parchment, which sprang back into a roll."
"ron","chamber_of_secrets",26,175," ""Somewhere over there,"" said Ron, pointing along the shelves."
"ron","chamber_of_secrets",26,180,"I thought he was a bit of an idiot,"" said Ron, scribbling away, making his writing as large as possible."
"hermione","chamber_of_secrets",26,188," *141*  ""The same reason everyone else wants it,"" said Hermione, ""to read up on the legend of the Chamber of Secrets."""
"hermione","chamber_of_secrets",26,192,"I can't remember,"" said Hermione, biting her lip."
"ron","chamber_of_secrets",26,193,"""And I can't find the story anywhere else -""  ""Hermione, let me read your composition,"" said Ron desperately, checking his watch."
"hermione","chamber_of_secrets",26,194," ""No, I won't,"" said Hermione, suddenly severe."
"hermione","chamber_of_secrets",26,208,"I was wondering if you could tell us anything about the Chamber of Secrets,"" said Hermione in a clear voice."
"professor","chamber_of_secrets",26,218," ""Well,"" said Professor Binns slowly, ""yes, one could argue that, I suppose."""
"professor","chamber_of_secrets",26,252,"  ""That is believed to be some sort of monster, which the Heir of Slytherin alone can control,"" said Professor Binns in his dry, reedy voice."
"professor","chamber_of_secrets",26,254," ""I tell you, the thing does not exist,"" said Professor Binns, shuffling his notes."
"seamus","chamber_of_secrets",26,256,"  ""But, sir,"" said Seamus Finnigan, ""if the Chamber can only be opened by Slytherin's true heir, no one else would be able to find it, would they?"""
"professor","chamber_of_secrets",26,257,"  ""Nonsense, O'Flaherty,"" said Professor Binns in an aggravated  *151*  tone."
"harry","chamber_of_secrets",26,267," ""I always knew Salazar Slytherin was a twisted old loony,"" Ron told Harry and Hermione as they fought their way through the teeming corridors at the end of the lesson to drop off their bags before dinner."
"harry","chamber_of_secrets",26,280,"  ""Hullo, Colin,"" said Harry automatically."
"harry","chamber_of_secrets",26,285," ""That I'm Slytherin's heir, I expect,"" said Harry, his stomach dropping another inch or so as he suddenly remembered the way Justin Finch- Fletchley had run away from him at lunchtime."
"ron","chamber_of_secrets",26,286," ""People here'll believe anything,"" said Ron in disgust."
"harry","chamber_of_secrets",26,298," ""Can't hurt to have a poke around,"" said Harry, dropping his bag and getting to his hands and knees so that he could crawl along, searching for clues."
"harry","chamber_of_secrets",26,312," ""No,"" said Harry, ""have you, Ron?"
"ron","chamber_of_secrets",26,318," ""I - don't - like - spiders,"" said Ron tensely."
"hermione","chamber_of_secrets",26,319," ""I never knew that,"" said Hermione, looking at Ron in surprise."
"ron","chamber_of_secrets",26,321," *154*  ""I don't mind them dead,"" said Ron, who was carefully looking anywhere but at the window."
"ron","chamber_of_secrets",26,324," ""It's not funny,"" said Ron, fiercely."
"ron","chamber_of_secrets",26,334,"  ""It was about here,"" said Ron, recovering himself to walk a few paces past Filch's chair and pointing."
"ron","chamber_of_secrets",26,339," ""Can't go in there,"" said Ron gruffly."
"hermione","chamber_of_secrets",26,341,"  ""Oh, Ron, there won't be anyone in there,"" said Hermione, standing up and coming over."
"harry","chamber_of_secrets",26,360," ""Nothing,"" said Harry quickly."
"hermione","chamber_of_secrets",26,363,"""I do have feelings, you know, even if I am dead -""  ""Myrtle, no one wants to upset you,"" said Hermione."
"hermione","chamber_of_secrets",26,368,"  ""We wanted to ask you if you've seen anything funny lately,"" said Hermione quickly."
"myrtle","chamber_of_secrets",26,372," ""I wasn't paying attention,"" said Myrtle dramatically."
"ron","chamber_of_secrets",26,373,"""Peeves upset me so much I came in here and tried to kill myself Then, of course, I remembered that I'm - that I'm ""  ""Already dead,"" said Ron helpfully."
"harry","chamber_of_secrets",26,384,"""Clues, you know -""  Percy swelled in a manner that reminded Harry forcefully of Mrs. Weasley."
"ginny","chamber_of_secrets",26,390,"  ""That's what I told Ginny,"" said Percy fiercely, ""but she still seems to think you're going to be expelled, I've never seen her so upset, crying her eyes out, you might think of her, all the first years are thoroughly overexcited by this business -""  ""You don't care about Ginny,"" said Ron, whose ears were now  *157*  reddening."
