Book,Character,House,Text
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Yes,' Harry said."
Book_Order_Of_The_Phoenix,Book_Potter,Gryffindor,"  'We have no record of any witch or wizard living in Little Whinging, other than Harry Potter,' said Madam Bones at once 'That situation has always been closely monitored, given ."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"    'You have heard it from an eyewitness,' Dumbledore interrupted."
Book_Order_Of_The_Phoenix,Book_August,#N/A,"    The Ministry does not have the power to expel Hogwarts students, Cornelius, as I reminded you on the night of the second of August,' said Dumbledore."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Dumbledore didn't say - '    'Cleared,' Harry said, pulling the door closed behind him, 'of all charges!'"
Book_Order_Of_The_Phoenix,Book_Potter,Gryffindor,"Patronus Potter,' said Lucius Malfoy coolly."
Book_Order_Of_The_Phoenix,Book_Potter,Gryffindor,"  'I don't think private matters between myself and the Minister are any concern of yours, Potter,' said Malfoy, smoothing the front of his robes."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'Mr Weasley,' said Harry slowly, 'if Fudge is meeting Death Eaters like Malfoy, if he's seeing them alone, how do we know they haven't put the Imperius Curse on him?'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Don't think it hasn't occurred to us, Harry,' said Mr Weasley quietly."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Scar,' Harry mumbled."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"    '[ don't think he'll be able to, Ron,' said Mrs Weasley, setting a huge plate of roast chicken down in front of Harry."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"    'That's a bit harsh, Hermione,' said Ron, frowning as he attempted to prise off a bit of mould that had attached itself firmly to his finger, 'you wouldn't want to be stuck inside this house without any company.'"
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"    'I'll sponsor you to shut up about SPEW,' Ron muttered irritably, but only so Harry could hear him.*Harry found himself daydreaming about Hogwarts more and more as the end of the holidays approached; he could not wait to see Hagrid again, to play Quidditch, even to stroll across the vegetable patches to the Herbology greenhouses; it would be a treat just to leave this dusty, musty house, where half of the cupboards were still bolted shut and Kreacher wheezed insults out of the shadows as you passed, though Harry was careful not to say any of this within earshot of Sirius."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"  Well, we overheard Mum and Dad talking on the Extendable Ears a few weeks back,' Fred told Harry, 'and from what they were saying, Dumbledore was having real trouble finding anyone to do the job this year.'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Ron's prefect, not me,' Harry said."
Book_Order_Of_The_Phoenix,Book_Ginny,Gryffindor,"  'Ginny said the booklists had come at last,' she said, glancing around at all the envelopes as she made her way over to the bed and started sorting the robes into two piles."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  Fred and George burst out laughing, and Ron muttered, 'Drop it, Hermione.'"
Book_Order_Of_The_Phoenix,Book_George,Gryffindor,"    'We're going to have to watch our step, George,' said Fred, pretending to tremble, 'with these two on our case ."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  'Well done, Hermione,' said Harry, so heartily it did not sound like his voice at all, and, still not looking at her, 'brilliant."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Cool,' Harry said, and he was relieved to hear that his voice had stopped sounding hearty."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Nah, I've caused too much trouble,' Harry said, echoing Fred."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"    'Dung likes his little joke,' Fred said to Harry."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Be careful,' Harry warned them quietly."
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"  'Molly' said Lupin bleakly, walking over to her."
Book_Order_Of_The_Phoenix,Book_Percy,Gryffindor,"  'Don't worry about Percy,' said Sirius abruptly."
Book_Order_Of_The_Phoenix,Book_Tonks,Hufflepuff,"  'Harry, you're to come with me and Tonks,' shouted Mrs Weasley over the repeated screeches of 'MUDBLOODS!"
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"oh, for heavens sake, Sirius, Dumbledore said no!'"
Book_Order_Of_The_Phoenix,Book_Lee,Gryffindor,"  Thanks, Lee,' said Harry, grinning, as Sirius wagged his tail frantically."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"  'I'll still be reporting Sturgis to Dumbledore,' said Moody, 'that's the second time he's not turned up in a week."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  'We're - well - Ron and I are supposed to go into the prefect carnage,' Hermione said awkwardly."
Book_Order_Of_The_Phoenix,Book_Ginny,Gryffindor,"  'Come on,' Ginny told him, 'if we get a move on we'll be able to save them places.'"
Book_Order_Of_The_Phoenix,Book_Neville,Gryffindor,"There's room in this one, there's only Loony Lovegood in here - '    Neville mumbled something about not wanting to disturb anyone."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"hello, Harry,' said a nervous voice."
Book_Order_Of_The_Phoenix,Book_Malfoy,Slytherin,"  'Malfoy,' replied Harry at once, certain his worst fear would be confirmed."
Book_Order_Of_The_Phoenix,Book_Parkinson,#N/A,"  'And that complete cow Pansy Parkinson,' said Hermione viciously."
Book_Order_Of_The_Phoenix,Book_Luna,Ravenclaw,"  'She didn't enjoy it very much,' Luna informed him."
Book_Order_Of_The_Phoenix,Book_Malfoy,Slytherin,"  'Shut up, Malfoy,' said Hermione sharply."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  He can't have left, Harry told himself as he shuffled slowly through a narrow doorway on to the road outside with the rest of the crowd."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    There was a pause, then Harry said very quietly, so that Neville, Parvati and Lavender could not hear, 'Maybe he's not back yet."
Book_Order_Of_The_Phoenix,Book_Neville,Gryffindor,"  'Yes, indeed,' said Nearly Headless Nick knowledgeably, leaning across Neville towards her (Neville winced; it was very uncomfortable to have a ghost lean through you)."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"(Harry, Ron and Hermione exchanged smirks.)    'Mr Filch, the caretaker, has asked me, for what he tells me is the four-hundred-and-sixty-second time, to remind you all that magic is not permitted in corridors between classes, nor are a number of other things, all of which can be checked on the extensive list now fastened to Mr Filch's office door."
Book_Order_Of_The_Phoenix,Book_Parvati,Gryffindor,"  'I'll be her friend as long as I don't have to borrow that cardigan,' Parvati whispered to Lavender, and both of them lapsed into silent giggles."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Hey, Harry,' said Dean, who was putting on a pair of pyjamas in the West Ham colours."
Book_Order_Of_The_Phoenix,Book_Seamus,Gryffindor,"  He got into bed and made to pull the hangings closed around him, but before he could do so, Seamus said, 'Look ."
Book_Order_Of_The_Phoenix,Book_Seamus,Gryffindor,"    'That's out of order, Seamus,' said Ron, whose ears were starting to glow red - always a danger sign."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"We believe Harry,' said Neville simply."
Book_Order_Of_The_Phoenix,Book_Dean,Gryffindor,"  'Don't worry about it, Harry,' Dean muttered, hoisting his schoolbag on to his shoulder, 'he's just ."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,'Don't you remember what Dumbledore said at the last end-of-term feast?'
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'I listen, Ron,' said Hermione, with a touch of asperity."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  'You'll be singing a different tune soon enough, Hermione,' said Fred, thickly buttering a crumpet."
Book_Order_Of_The_Phoenix,Book_George,Gryffindor,"  ' - now that we've got our OWLs,' George said hastily."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"Ron demanded suddenly, pointing to the front of Cho's robes, where a sky-blue badge emblazoned with a double gold 'T' was pinned."
Book_Order_Of_The_Phoenix,Book_Bell,#N/A,"    'It means they're not real fans, they're just jumping on the bandwagon - '    That's the bell,' said Harry dully, because Ron and Hermione were bickering too loudly to hear it."
Book_Order_Of_The_Phoenix,Book_Potter,Gryffindor,"  'Tell me, Potter,' said Snape softly, 'can you read?'"
Book_Order_Of_The_Phoenix,Book_Granger,#N/A,"    'Hermione Granger,' said Hermione."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"    'Weasley,' said Ron, thrusting his hand into the air."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Well, it's like Harry said, isn't it?'"
Book_Order_Of_The_Phoenix,Book_Umbridge,Hufflepuff,"    'No, but - '    Professor Umbridge talked over him."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"You have been frightened into believing that you are likely to meet Dark attacks every other day - '    'No we haven't,' Hermione said, 'we just - '    'Your hand is not up, Miss Granger!'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"Harry shouted, running down the nearest flight of stairs, but Peeves merely slid down the banister on his back beside him.'"
Book_Order_Of_The_Phoenix,Book_Mcgonagall,Gryffindor,"  'It says here she's given you detention every evening this week, starting tomorrow,' Professor McGonagall said, looking down at Umbridge's note again."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"    'What I don't get,' said Harry through clenched teeth, laying down his knife and fork (his hands were shaking too much to hold them steady), 'is why they all believed the story two months ago when Dumbledore told them ."
Book_Order_Of_The_Phoenix,Book_Hagrid,Gryffindor,"'You know what it's like, Hagrid told us, nobody wants the job; they say it's jinxed.'"
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  Thank you for your support, Ron,' Hermione said acidly."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'You handled it fine by yourself,' Ron mumbled."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"    'I wouldn't bet on it,' Ron told her cuttingly."
Book_Order_Of_The_Phoenix,Book_Hagrid,Gryffindor,"  'Dumbledore would know if something had happened to Hagrid,' said Hermione at once."
Book_Order_Of_The_Phoenix,Book_Bell,#N/A,"When the bell echoed distantly over the grounds, Harry rolled up his blood-stained Bowtruckle picture and marched off to Herbology with his hand wrapped in Hermione's handkerchief, and Malfoy's derisive laughter still ringing in his ears."
Book_Order_Of_The_Phoenix,Book_Hagrid,Gryffindor,"  'Because she'll never be as good as Hagrid,' said Harry firmly, fully aware that he had just experienced an exemplary Care of Magical Creatures lesson and was thoroughly annoyed about it."
Book_Order_Of_The_Phoenix,Book_Luna,Ravenclaw,"  'You can laugh,' Luna said, her voice rising, apparently under the impression that Parvati and Lavender were laughing at what she had said rather than what she was wearing, 'but people used to believe there were no such things as the Blibbering Humdinger or the Crumple-Horned Snorkack!'"
Book_Order_Of_The_Phoenix,Book_Ernie,Gryffindor,"My family have always stood firm behind Dumbledore, and so do I.'    'Er - thanks very much, Ernie,' said Harry, taken aback but pleased."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Evening, Professor Umbridge,' Harry said stiffly."
Book_Order_Of_The_Phoenix,Book_Potter,Gryffindor,"  'You know what to do, Mr Potter,' said Umbridge, smiling sweetly at him."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"Then Hermione said, 'But last year your scar hurt when nobody was touching you, and didn't Dumbledore say it had to do with what You-Know-Who was feeling at the time?"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'I'm not doing anything wrong,' Harry called after her."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    Feeling immensely thankful that he had not dawdled in posting off the letter, Harry said, 'I can't, it's gone.'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  Thanks,' Harry said."
Book_Order_Of_The_Phoenix,Book_Cho,Ravenclaw,"At the entrance of a corridor that led towards the west wing of the castle, Cho said, 'I'm going this way."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Morning,' Harry said brightly to Ron and Hermione as he joined them at the Gryffindor table in the Great Hall."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,' Hermione read from her half in an anguished whisper.
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Exactly the attitude I want, Harry' said Angelina approvingly soaring around them with the Quaffle under her arm and slowing to hover on the spot in front of her airborne team."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'Pass it on, Ron,' called Angelina, as though nothing had happened."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'Come on now, Ron,' said Angelina crossly, as he dived for the ground again, chasing the Quaffle."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"  'Here, take this,' Fred told her, handing her something small anc purple from out of his pocket, 'it'll clear it up in no time.'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Well, I suppose he could've played better,' Harry muttered, 'but it was only the first training session, like you said ."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'You know, we probably should try and get more homework done during the week, Harry muttered to Ron, as they finally laid aside Professor McGonagall's long essay on the Inanimatus Conjurus Spell and turned miserably to Professor Sinistra's equally long and difficult essay about Jupiter's many moons."
