character,book,text,House
Ron,chamber_of_secrets," ""Oh, this doesn't count,"" said Ron.",Gryffindor
Ron,chamber_of_secrets,"But doing magic in front of those Muggles you live with -""  ""I told you, I didn't - but it'll take too long to explain now look, can you tell them at Hogwarts that the Dursleys have locked me up and won't let me come back, and obviously I can't magic myself out, because the Ministry'Il think that's the second spell I've done in three days, so -""  ""Stop gibbering,"" said Ron.",Gryffindor
Ron,chamber_of_secrets,"  ""But you can't magic me out either -""  ""We don't need to,"" said Ron, jerking his head toward the front seat and grinning.",Gryffindor
Fred,chamber_of_secrets,"  ""Tie that around the bars,"" said Fred, throwing the end of a rope to Harry.",Gryffindor
Harry,chamber_of_secrets," ""If the Dursleys wake up, I'm dead,"" said Harry as he tied the rope tightly around a bar and Fred revved up the car.",Gryffindor
Fred,chamber_of_secrets," ""Don't worry,"" said Fred, ""and stand back.""",Gryffindor
George,chamber_of_secrets,"   ""Locked in the cupboard under the stairs, and I can't get out of this room -""  ""No problem,"" said George from the front passenger seat.",Gryffindor
Fred,chamber_of_secrets," ""A lot of wizards think it's a waste of time, knowing this sort of Muggle trick,"" said Fred, ""but we feel they're skills worth learning, even if they are a bit slow.""",Gryffindor
George,chamber_of_secrets," ""So - we'll get your trunk - you grab anything you need from your room and hand it out to Ron,"" whispered George.",Gryffindor
Ron,chamber_of_secrets," ""Let Hedwig out,"" he told Ron.",Gryffindor
Fred,chamber_of_secrets," ""Very fishy,"" said Fred finally.",Gryffindor
George,chamber_of_secrets," ""Definitely dodgy"" agreed George.",Gryffindor
Harry,chamber_of_secrets,"  ""I don't think he could,"" said Harry.",Gryffindor
Fred,chamber_of_secrets," ""Well,"" said Fred, ""put it this way - house-elves have got powerful magic of their own, but they can't usually use it without their master's permission.",Gryffindor
Harry,chamber_of_secrets,"  ""Yes,"" said Harry and Ron together, instantly.",Gryffindor
George,chamber_of_secrets,"  Y.  ""I've heard Dad talking about him,"" said George.",Gryffindor
Fred,chamber_of_secrets,"  ""And when You-Know-Who disappeared,"" said Fred, craning around to look at Harry, ""Lucius Malfoy came back saying he'd never meant any of it.",Gryffindor
Harry,chamber_of_secrets," ""I don't know whether the Malfoys own a house-elf	said  Harry.",Gryffindor
Fred,chamber_of_secrets," ""Well, whoever owns him will be an old wizarding family, and they'll be rich,"" said Fred.",Gryffindor
George,chamber_of_secrets," ""Yeah, Mum's always wishing we had a house-elf to do the ironing,"" said George.",Gryffindor
Ron,chamber_of_secrets," ""I'm glad we came to get you, anyway,"" said Ron.",Gryffindor
Fred,chamber_of_secrets,"  ""The owl Mum and Dad bought Percy when he was made prefect,"" said Fred from the front.",Gryffindor
Ron,chamber_of_secrets," ""But Percy wouldn't lend him to me,"" said Ron.",Gryffindor
George,chamber_of_secrets,"  ""Percy's been acting very oddly this summer,"" said George, frowning.",Gryffindor
Ron,chamber_of_secrets," ""Er, no,"" said Ron, ""he had to work tonight.",Gryffindor
Ron,chamber_of_secrets,"  ""He works in the most boring department,"" said Ron.",Gryffindor
George,chamber_of_secrets,"  ""That's the main road,"" said George, peering down through the windshield.",Gryffindor
George,chamber_of_secrets," ""We're a little way outside the village,"" said George.",Gryffindor
Ron,chamber_of_secrets," ""It's not much,"" said Ron.",Gryffindor
Harry,chamber_of_secrets," ""It's wonderful,"" said Harry happily, thinking of Privet Drive.",Gryffindor
Fred,chamber_of_secrets," ""Now, we'll go upstairs really quietly,"" said Fred, ""and wait for Mum to call us for breakfast Then, Ron, you come bounding downstairs going, `Mum, look who turned up in the night!'",Gryffindor
Ron,chamber_of_secrets,"  ""Right,"" said Ron.",Gryffindor
Fred,chamber_of_secrets," ""Ah, ""said Fred.",Gryffindor
George,chamber_of_secrets," ""Oh, dear,"" said George.",Gryffindor
George,chamber_of_secrets," ""Morning, Mum,"" said George, in what he clearly thought was a jaunty, winning voice.",Gryffindor
Fred,chamber_of_secrets,"- never, as long as I've lived - you wait until your father gets home, we never had trouble like this from Bill or Charlie or Percy -""  ""Perfect Percy,"" muttered Fred.",Gryffindor
Harry,chamber_of_secrets,"  ""I don't blame you, dear,"" she assured Harry, tipping eight or nine sausages onto his plate.",Gryffindor
Ron,chamber_of_secrets," ""Ginny,"" said Ron in an undertone to Harry.",Gryffindor
Fred,chamber_of_secrets," ""Blimey, I'm tired,"" yawned Fred, setting down his knife and fork at last.",Gryffindor
Fred,chamber_of_secrets,"  ""Mum fancies him,"" said Fred, in a very audible whisper.",Gryffindor
Ron,chamber_of_secrets," ""Muggles have garden gnomes, too, you know,"" Harry told Ron  they crossed the lawn.",Gryffindor
Ron,chamber_of_secrets," ""Yeah, I've seen those things they think are gnomes,"" said Ron, bent double with his head in a peony bush, ""like fat little Santa Clauses with fishing rods .",Gryffindor
Fred,chamber_of_secrets," ""Pitiful,"" said Fred.",Gryffindor
George,chamber_of_secrets," ""See, they're not too bright,"" said George, seizing five or six gnomes at once.",Gryffindor
Ron,chamber_of_secrets," ""They'll be back,"" said Ron as they watched the gnomes disappear into the hedge on the other side of the field.",Gryffindor
Ron,chamber_of_secrets," ""Ginny,"" said Ron.",Gryffindor
Ron,chamber_of_secrets," ""The Chudley Cannons,"" said Ron, pointing at the orange bedspread, which was emblazoned with two giant black C's and a speeding cannonball.",Gryffindor
Ron,chamber_of_secrets," ""It's a bit small,"" said Ron quickly.",Gryffindor
George,chamber_of_secrets," ""That lot won't come cheap,"" said George, with a quick look at his parents.",Gryffindor
Percy,chamber_of_secrets," ""Morning, all,"" said Percy briskly.",Gryffindor
Fred,chamber_of_secrets," ""Wish I knew what he was up to,"" said Fred, frowning.",Gryffindor
George,chamber_of_secrets," ""Dunno how Mum and Dad are going to afford all our school stuff this year,"" said George after a while.",Gryffindor
Ron,chamber_of_secrets," ""He's never traveled by Floo powder,"" said Ron suddenly.",Gryffindor
Fred,chamber_of_secrets,"""Floo powder's a lot quicker, dear, but goodness me, if you've never used it before -""  ""He'll be all right, Mum,"" said Fred.",Gryffindor
Harry,chamber_of_secrets," * 41  ""You must speak clearly, dear,"" Mrs. Weasley told Harry as George dipped his hand into the flowerpot.",Gryffindor
Ron,chamber_of_secrets,"""The soot -""  ""Don't fidget,"" said Ron.",Gryffindor
Harry,chamber_of_secrets,"""Skulkin' around Knockturn Alley, I dunno dodgy place, Harry - don' want no one ter see yeh down there -""  ""I realized that,"" said Harry, ducking as Hagrid made to brush him off again.",Gryffindor
Harry,chamber_of_secrets,"  ""As soon as I've found the Weasleys,"" said Harry.",Gryffindor
Ron,chamber_of_secrets," ""We've never been allowed in,"" said Ron enviously.",Gryffindor
Harry,chamber_of_secrets,""" Ron told Harry and Hermione in an undertone as they left Percy to it.",Gryffindor
Ron,chamber_of_secrets,"""This is for the Daily Prophet -""  ""Big deal,"" said Ron, rubbing his foot where the photographer had stepped on it.",Gryffindor
Ron,chamber_of_secrets," ""Oh, it's you,"" said Ron, looking at Malfoy as if he were something unpleasant on the sole of his shoe.",Gryffindor
Fred,chamber_of_secrets,"what Gilderoy Lockhart must've thought -""  ""He was pleased,"" said Fred.",Gryffindor
Harry,chamber_of_secrets," ""I'll take Ginny and you two come right after us,"" Mrs. Weasley told Harry and Ron, grabbing Ginny's hand and setting off.",Gryffindor
Ron,chamber_of_secrets," ""It's gone,"" said Ron, sounding stunned.",Gryffindor
Ron,chamber_of_secrets," ""Check that no one's watching,"" said Ron, starting the ignition with another tap of his wand.",Gryffindor
Ron,chamber_of_secrets," ""Uh-oh,"" said Ron, jabbing at the Invisibility Booster.",Gryffindor
Ron,chamber_of_secrets," ""We need to see the train to know what direction to go in,"" said Ron.",Gryffindor
Ron,chamber_of_secrets," ""Due north,"" said Ron, checking the compass on the dashboard.",Gryffindor
Ron,chamber_of_secrets,"The wheels of the car skimmed the sea of fluffy cloud, the sky a bright, endless blue under the blinding white sun.  ""All we've got to worry about now are airplanes,"" said Ron.",Gryffindor
Ron,chamber_of_secrets," ""It's probably just tired,"" said Ron.",Gryffindor
Ron,chamber_of_secrets,"""Not far,"" said Ron, more to the car than to Harry, ""not far now,"" and he patted the dashboard nervously.",Gryffindor
Ron,chamber_of_secrets," ""Uh-oh,"" said Ron, into the silence.",Gryffindor
Ron,chamber_of_secrets," ""My wand,"" said Ron, in a shaky voice.",Gryffindor
Ron,chamber_of_secrets,"said Ron as another twisted limb punched a large dent into his door; the windshield was now trembling under a hail of blows from knuckle-like twigs and a branch as thick as a battering ram was pounding furiously on the roof, which seemed to be caving  ""Run for it!""",Gryffindor
Harry,chamber_of_secrets," ""Come on,"" said Harry wearily, ""we'd better get up to the school ......",Gryffindor
Ron,chamber_of_secrets," ""I think the feast's already started,"" said Ron, dropping his trunk at the foot of the front steps and crossing quietly to look through a brightly lit window.",Gryffindor
Ron,chamber_of_secrets," ""We'll go and get our stuff,"" said Ron in a hopeless sort of voice.",Gryffindor
Dumbledore,chamber_of_secrets," ""Not today, Mr. Weasley,"" said Dumbledore.",Gryffindor
Dumbledore,chamber_of_secrets,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly.",Gryffindor
Ron,chamber_of_secrets,"""Not much,"" said Ron, hastily wiping the cut over his eye with his sleeve.",Gryffindor
Ron,chamber_of_secrets,"""Oh, good,"" said Ron.",Gryffindor
Harry,chamber_of_secrets," ""So did I,"" said Harry, taking one, too.",Gryffindor
Ron,chamber_of_secrets," ""She didn't want us showing off,"" said Ron sagely.",Gryffindor
Harry,chamber_of_secrets," ""Er -"" said Harry.",Gryffindor
Ron,chamber_of_secrets," ""Skip the lecture,"" said Ron impatiently, ""and tell us the new password.""",Gryffindor
Hermione,chamber_of_secrets,"  ""It's `wattlebird,""' said Hermione impatiently, ""but that's not the point - ""  Her words were cut short, however, as the portrait of the fat lady swung open and there was a sudden storm of clapping.",Gryffindor
Dean,chamber_of_secrets," ""Cool,"" said Dean.",Gryffindor
Neville,chamber_of_secrets," ""Amazing,"" said Neville, awestruck.",Gryffindor
Harry,chamber_of_secrets,"There was a slight stiffness in the way she said ""Morning,"" which told Harry that she was still disapproving of the way they had arrived.",Gryffindor
Hermione,chamber_of_secrets," ""It's all right, he's still alive,"" said Hermione, prodding Errol gently with the tip of her finger.",Gryffindor
Ron,chamber_of_secrets," ""She's - she's sent me a Howler,"" said Ron faintly.",Gryffindor
Neville,chamber_of_secrets," ""You'd better open it, Ron,"" said Neville in a timid whisper.",Gryffindor
Hermione,chamber_of_secrets," s1  ""Mandrake, or Mandragora, is a powerful restorative,"" said Hermione, sounding as usual as though she had swallowed the textbook.",Gryffindor
Ron,chamber_of_secrets," ""Oh, yeah, and get another Howler back,"" said Ron, stuffing the now hissing wand into his bag.",Gryffindor
Hermione,chamber_of_secrets," ""Defense Against the Dark Arts,"" said Hermione at once.",Gryffindor
Ron,chamber_of_secrets," ""Why, ""demanded Ron, seizing her schedule, ""have you outlined all Lockhart's lessons in little hearts?""",Gryffindor
Colin,chamber_of_secrets," ""So I can prove I've met you,"" said Colin Creevey eagerly, edging further forward.",Gryffindor
Harry,chamber_of_secrets,"  ""No, I'm not,"" said Harry angrily, his fists clenching.",Gryffindor
Ron,chamber_of_secrets," ""Eat slugs, Malfoy,"" said Ron angrily.",Gryffindor
Ron,chamber_of_secrets," ""You could've fried an egg on your face"" said Ron.",Gryffindor
Hermione,chamber_of_secrets," ""He just wants to give us some hands-on experience,"" said Hermione, immobilizing two pixies at once with a clever Freezing Charm and stuffing them back into their cage.",Gryffindor
Harry,chamber_of_secrets,"""said Harry, who was trying to grab a pixie dancing out of reach with its tongue out.",Gryffindor
Hermione,chamber_of_secrets,"""Hermione, he didn't have a clue what he was doing -""  ""Rubbish,"" said Hermione.",Gryffindor
Harry,chamber_of_secrets," ""No,"" said Harry flatly, glancing around to check that the room was really deserted.",Gryffindor
Colin,chamber_of_secrets," ""I don't really understand Quidditch,"" said Colin breathlessly.",Gryffindor
Harry,chamber_of_secrets,"  ""Yes,"" said Harry heavily, resigned to explaining the complicated rules of Quidditch.",Gryffindor
Harry,chamber_of_secrets,"  ""And the fourth ball -""  ""- is the Golden Snitch,"" said Harry, ""and it's very small, very fast, and difficult to catch.",Gryffindor
Harry,chamber_of_secrets," ""Yes,"" said Harry as they left the castle and started across the dew- drenched grass.",Gryffindor
George,chamber_of_secrets,"  ""I've got a question, Oliver,"" said George, who had woken with a start.",Gryffindor
Harry,chamber_of_secrets," ""Haven't even started,"" said Harry, looking jealously at the toast and marmalade Ron and Hermione had brought out of the Great Hall.",Gryffindor
Harry,chamber_of_secrets,"  ""He's in Gryffindor,"" said Harry quickly.",Gryffindor
George,chamber_of_secrets," ""And the Slytherins don't need a spy, Oliver,"" said George.",Gryffindor
George,chamber_of_secrets," ""Because they're here in person,"" said George, pointing.",Gryffindor
Hermione,chamber_of_secrets," ""At least no one on the Gryffindor team had to buy their way in,"" said Hermione sharply.",Gryffindor
Harry,chamber_of_secrets," ""We'd better get him to Hagrid's, it's nearest,"" said Harry to Hermione, who nodded bravely, and the pair of them pulled Ron up by the arms.",Gryffindor
Colin,chamber_of_secrets," ""Oooh,"" said Colin, fascinated and raising his camera.",Gryffindor
Hermione,chamber_of_secrets," ""Nearly there, Ron,"" said Hermione as the gamekeeper's cabin came into view.",Gryffindor
Hermione,chamber_of_secrets,"  ""I don't think there's anything to do except wait for it to stop,"" said Hermione anxiously, watching Ron bend over the basin.",Gryffindor
Hermione,chamber_of_secrets,"  ""Malfoy called Hermione something - it must've been really bad, because everyone went wild.""",Gryffindor
Ron,chamber_of_secrets,"  ""It was bad,"" said Ron hoarsely, emerging over the tabletop looking pale and sweaty.",Gryffindor
Ron,chamber_of_secrets,"I could tell it was really rude, of course -""  ""It's about the most insulting thing he could think of,"" gasped Ron, coming back up.",Gryffindor
Ron,chamber_of_secrets," ""It's a disgusting thing to call someone,"" said Ron, wiping his sweaty brow with a shaking hand.",Gryffindor
Harry,chamber_of_secrets,"  ""Bet he didn't like that,"" said Harry, sitting up and rubbing his chin.",Gryffindor
Ron,chamber_of_secrets," ""No thanks,"" said Ron weakly.",Gryffindor
Harry,chamber_of_secrets,"""If yeh ask me, she wouldn' say no ter a signed -""  ""Oh, shut up,"" said Harry.",Gryffindor
Ron,chamber_of_secrets," ""Filch'll have me there all night,"" said Ron heavily.",Gryffindor
Harry,chamber_of_secrets,"  ""I'd swap anytime,"" said Harry hollowly.",Gryffindor
Harry,chamber_of_secrets,"  ""No,"" said Harry frantically.",Gryffindor
Harry,chamber_of_secrets,"  ""I know,"" said Harry, lying back in his four-poster and staring at the canopy above him.",Gryffindor
Harry,chamber_of_secrets,"  ""Hello, Nick,"" said Harry.",Gryffindor
Nick,chamber_of_secrets," ""You look troubled, young Potter,"" said Nick, folding a transparent letter as he spoke and tucking it inside his doublet.",Gryffindor
Harry,chamber_of_secrets," ""So do you,"" said Harry.",Gryffindor
Harry,chamber_of_secrets,"   ""Oh - yes,"" said Harry, who was obviously supposed to agree.",Gryffindor
Harry,chamber_of_secrets,"  ""No,"" said Harry.",Gryffindor
Nick,chamber_of_secrets," ""You'd better get out of here, Harry,"" said Nick quickly.",Gryffindor
Harry,chamber_of_secrets,"He's been cleaning all morning, and if he sees you dripping mud all over the place -""   ""Right,"" said Harry, backing away from the accusing stare of Mrs. Norris, but not quickly enough.",Gryffindor
Nick,chamber_of_secrets," ""I persuaded Peeves to crash it right over Filch's office,"" said Nick eagerly.",Gryffindor
Nick,chamber_of_secrets," ""But there is something you could do for me,"" said Nick excitedly.",Gryffindor
Harry,chamber_of_secrets," ""Oh,"" said Harry, not sure whether he should look sorry or happy about this.",Gryffindor
Harry,chamber_of_secrets," ""No,"" said Harry quickly, ""I'll come -""  ""My dear boy!",Gryffindor
Harry,chamber_of_secrets,"  ""Of - of course,"" said Harry.",Gryffindor
Harry,chamber_of_secrets," ""A promise is a promise,"" Hermione reminded Harry bossily.",Gryffindor
Ron,chamber_of_secrets," ""Careful not to walk through anyone,"" said Ron nervously, and they set off around the edge of the dance floor.",Gryffindor
Hermione,chamber_of_secrets,"  ""Oh, no,"" said Hermione, stopping abruptly.",Gryffindor
Hermione,chamber_of_secrets," ""She haunts one of the toilets in the girls' bathroom on the first floor,"" said Hermione.",Gryffindor
Hermione,chamber_of_secrets,"  ""I expect they've let it rot to give it a stronger flavor,"" said Hermione knowledgeably, pinching her nose and leaning closer to look at the putrid haggis.",Gryffindor
Ron,chamber_of_secrets,"I feel sick,"" said Ron.",Gryffindor
Harry,chamber_of_secrets," ""Hello, Peeves,"" said Harry cautiously.",Gryffindor
Hermione,chamber_of_secrets," ""No thanks,"" said Hermione.",Gryffindor
Hermione,chamber_of_secrets," ""Just saying - saying - how nice you look tonight,"" said Hermione, glaring at Peeves.",Gryffindor
Hermione,chamber_of_secrets,"  ""Oh, dear,"" said Hermione sadly.",Gryffindor
Nick,chamber_of_secrets," ""Welcome, Patrick,"" said Nick stiffly.",Gryffindor
Harry,chamber_of_secrets,"But I mean to say - look at the fellow -""  ""I think,"" said Harry hurriedly, at a meaningful look from Nick, ""Nick's very - frightening and - er -""  ""Ha!""",Gryffindor
Ron,chamber_of_secrets," ""Pudding might not be finished yet,"" said Ron hopefully, leading the way toward the steps to the entrance hall.",Gryffindor
Ron,chamber_of_secrets," ""Trust me,"" said Ron.",Gryffindor
Dumbledore,chamber_of_secrets," *140*  ""My office is nearest, Headmaster - just upstairs - please feel free -""  ""Thank you, Gilderoy,"" said Dumbledore.",Gryffindor
Dumbledore,chamber_of_secrets,"  ""She has been Petrified,"" said Dumbledore (""Ah!",Gryffindor
Dumbledore,chamber_of_secrets," ""No second year could have done this,"" said Dumbledore firmly.",Gryffindor
Ron,chamber_of_secrets,"  ""We weren't hungry,"" said Ron loudly as his stomach gave a huge rumble.",Gryffindor
Dumbledore,chamber_of_secrets,"  ""We will be able to cure her, Argus,"" said Dumbledore patiently.",Gryffindor
Ron,chamber_of_secrets,"  ""No,"" said Ron, without hesitation.",Gryffindor
Ron,chamber_of_secrets,"  ""'Course I do,"" said Ron quickly.",Gryffindor
Harry,chamber_of_secrets," ""I know it's weird,"" said Harry.",Gryffindor
Ron,chamber_of_secrets,"  ""You know, it rings a sort of bell,"" said Ron slowly.",Gryffindor
Harry,chamber_of_secrets," ""Midnight,"" said Harry.",Gryffindor
Ron,chamber_of_secrets,"  ""I don't believe it, I'm still eight inches short	said Ron fu  riously, letting go of his parchment, which sprang back into a roll.",Gryffindor
Ron,chamber_of_secrets," ""Somewhere over there,"" said Ron, pointing along the shelves.",Gryffindor
Ron,chamber_of_secrets,"I thought he was a bit of an idiot,"" said Ron, scribbling away, making his writing as large as possible.",Gryffindor
Hermione,chamber_of_secrets," *141*  ""The same reason everyone else wants it,"" said Hermione, ""to read up on the legend of the Chamber of Secrets.""",Gryffindor
Hermione,chamber_of_secrets,"I can't remember,"" said Hermione, biting her lip.",Gryffindor
Ron,chamber_of_secrets,"""And I can't find the story anywhere else -""  ""Hermione, let me read your composition,"" said Ron desperately, checking his watch.",Gryffindor
Hermione,chamber_of_secrets," ""No, I won't,"" said Hermione, suddenly severe.",Gryffindor
Hermione,chamber_of_secrets,"I was wondering if you could tell us anything about the Chamber of Secrets,"" said Hermione in a clear voice.",Gryffindor
Seamus,chamber_of_secrets,"  ""But, sir,"" said Seamus Finnigan, ""if the Chamber can only be opened by Slytherin's true heir, no one else would be able to find it, would they?""",Gryffindor
Harry,chamber_of_secrets," ""I always knew Salazar Slytherin was a twisted old loony,"" Ron told Harry and Hermione as they fought their way through the teeming corridors at the end of the lesson to drop off their bags before dinner.",Gryffindor
Harry,chamber_of_secrets,"  ""Hullo, Colin,"" said Harry automatically.",Gryffindor
Harry,chamber_of_secrets," ""That I'm Slytherin's heir, I expect,"" said Harry, his stomach dropping another inch or so as he suddenly remembered the way Justin Finch- Fletchley had run away from him at lunchtime.",Gryffindor
Ron,chamber_of_secrets," ""People here'll believe anything,"" said Ron in disgust.",Gryffindor
Harry,chamber_of_secrets," ""Can't hurt to have a poke around,"" said Harry, dropping his bag and getting to his hands and knees so that he could crawl along, searching for clues.",Gryffindor
Harry,chamber_of_secrets," ""No,"" said Harry, ""have you, Ron?",Gryffindor
Ron,chamber_of_secrets," ""I - don't - like - spiders,"" said Ron tensely.",Gryffindor
Hermione,chamber_of_secrets," ""I never knew that,"" said Hermione, looking at Ron in surprise.",Gryffindor
Ron,chamber_of_secrets," *154*  ""I don't mind them dead,"" said Ron, who was carefully looking anywhere but at the window.",Gryffindor
Ron,chamber_of_secrets," ""It's not funny,"" said Ron, fiercely.",Gryffindor
Ron,chamber_of_secrets,"  ""It was about here,"" said Ron, recovering himself to walk a few paces past Filch's chair and pointing.",Gryffindor
Ron,chamber_of_secrets," ""Can't go in there,"" said Ron gruffly.",Gryffindor
Hermione,chamber_of_secrets,"  ""Oh, Ron, there won't be anyone in there,"" said Hermione, standing up and coming over.",Gryffindor
Harry,chamber_of_secrets," ""Nothing,"" said Harry quickly.",Gryffindor
Hermione,chamber_of_secrets,"""I do have feelings, you know, even if I am dead -""  ""Myrtle, no one wants to upset you,"" said Hermione.",Gryffindor
Hermione,chamber_of_secrets,"  ""We wanted to ask you if you've seen anything funny lately,"" said Hermione quickly.",Gryffindor
Ron,chamber_of_secrets,"""Peeves upset me so much I came in here and tried to kill myself Then, of course, I remembered that I'm - that I'm ""  ""Already dead,"" said Ron helpfully.",Gryffindor
Harry,chamber_of_secrets,"""Clues, you know -""  Percy swelled in a manner that reminded Harry forcefully of Mrs. Weasley.",Gryffindor
Ginny,chamber_of_secrets,"  ""That's what I told Ginny,"" said Percy fiercely, ""but she still seems to think you're going to be expelled, I've never seen her so upset, crying her eyes out, you might think of her, all the first years are thoroughly overexcited by this business -""  ""You don't care about Ginny,"" said Ron, whose ears were now  *157*  reddening.",Gryffindor
Percy,chamber_of_secrets,"  ""That's what I told Ginny,"" said Percy fiercely, ""but she still seems to think you're going to be expelled, I've never seen her so upset, crying her eyes out, you might think of her, all the first years are thoroughly overexcited by this business -""  ""You don't care about Ginny,"" said Ron, whose ears were now  *157*  reddening.",Gryffindor
Ron,chamber_of_secrets,"  ""That's what I told Ginny,"" said Percy fiercely, ""but she still seems to think you're going to be expelled, I've never seen her so upset, crying her eyes out, you might think of her, all the first years are thoroughly overexcited by this business -""  ""You don't care about Ginny,"" said Ron, whose ears were now  *157*  reddening.",Gryffindor
Ron,chamber_of_secrets,"  ""Let's think,"" said Ron in mock puzzlement.",Gryffindor
Harry,chamber_of_secrets," ""Look at his family,"" said Harry, closing his books, too.",Gryffindor
Hermione,chamber_of_secrets," ""Well,"" said Hermione cautiously, ""I suppose it's possible ......",Gryffindor
Hermione,chamber_of_secrets," ""There might be a way,"" said Hermione slowly, dropping her voice still further with a quick glance across the room at Percy.",Gryffindor
Hermione,chamber_of_secrets," ""All right,"" said Hermione coldly.",Gryffindor
Hermione,chamber_of_secrets," ""No, it's not,"" said Hermione.",Gryffindor
Ron,chamber_of_secrets,"  ""This Polyjuice stuff sounds a bit dodgy to me,"" said Ron, frowning.",Gryffindor
Hermione,chamber_of_secrets,"  ""It wears off after a while,"" said Hermione, waving her hand  *159*  impatiently.",Gryffindor
Ron,chamber_of_secrets,"""Hard to see why we'd want the book, really,"" said Ron, ""if we weren't going to try and make one of the potions.""",Gryffindor
Hermione,chamber_of_secrets,"""I think,"" said Hermione, ""that if we made it sound as though we were just interested in the theory, we might stand a chance ......",Gryffindor
Ron,chamber_of_secrets,"""Oh, come on, no teacher's going to fall for that,"" said Ron.",Gryffindor
Hermione,chamber_of_secrets," ""Wait till everyone's gone,"" said Hermione nervously.",Gryffindor
Hermione,chamber_of_secrets,"   ""Oh, yes,"" said Hermione eagerly.",Gryffindor
Ron,chamber_of_secrets,"  ""That's because he's a brainless git,"" said Ron.",Gryffindor
Hermione,chamber_of_secrets,"""But who cares, we've got what we needed -""  ""He is not a brainless git,"" said Hermione shrilly as they half ran toward the library.",Gryffindor
Ron,chamber_of_secrets," ""Oh, come on,"" said Ron, wrenching it from her grasp and thrusting it at Madam Pince.",Gryffindor
Hermione,chamber_of_secrets," ""Here it is,"" said Hermione excitedly as she found the page headed The Polyjuice Potion.",Gryffindor
Hermione,chamber_of_secrets," ""This is the most complicated potion I've ever seen,"" said Hermione as they scanned the recipe.",Gryffindor
Ron,chamber_of_secrets,"But if you don't want to find out if it's Malfoy, I'll go straight to Madam Pince now and hand the book back in ='   ""I never thought Id see the day when you'd be persuading us to break rules,"" said Ron.",Gryffindor
George,chamber_of_secrets,"We've trained harder than they have, we've been flying in all weathers -"" (""Too true,"" muttered George Weasley.",Gryffindor
Fred,chamber_of_secrets,"  ""So no pressure, Harry"" said Fred, winking at him.",Gryffindor
George,chamber_of_secrets," ""We need time out,"" said George, trying to signal to Wood and stop the Bludger breaking Harry's nose at the same time.",Gryffindor
George,chamber_of_secrets,"  ""We were twenty feet above her, stopping the other Bludger from murdering Harry, Oliver,"" said George angrily.",Gryffindor
Harry,chamber_of_secrets,"  ""Listen,"" said Harry as she came nearer and nearer, ""with you two flying around me all the time the only way I'm going to catch the Snitch is if it flies up my sleeve.",Gryffindor
Fred,chamber_of_secrets,"  ""Don't be thick,"" said Fred.",Gryffindor
