Character,Dialogue
Filch," Anyone here, my sweet? {meow} Come on. {exit.}"
Filch," Oh, Professors. I found this, in the Restricted Section. It's still hot. That means there's a student out of bed."
Filch," A pity they let the old punishments die. There was a time detention would find you hanging by your thumbs in the dungeons. God, I miss the screaming. {Draco gulps, and Hermione rushes by.} You'll be serving detention with Hagrid tonight. He's got a little job to do inside the dark forest. {Hagrid appears with a crossbow. He sniffles.} A sorry lot this, Hagrid. Oh, good God, man, you're not still on about that bloody dragon, are you?"
Filch," Oh, for Gods sake, pull yourself together, man. You're going into the forest, after all. Got to have your wits about you."
Filch," There's more than werewolves in those trees, lad. You can be sure of that. {Draco looks frightened.} Nighty-night. {Exit.}"
Firenze," Harry Potter, you must leave. You are known to many creatures here. The forest is not safe at this time. Especially for you."
Firenze," A monstrous creature. It is a terrible crime to slay a unicorn. Drinking the blood of a unicorn will keep you alive even if you are an inch from death. But at a terrible price. You have slain something so pure that the moment the blood touches your lips, you will have a half-life. A cursed life."
Firenze, Can you think of no one?
Firenze, Do you know what is hidden in the school at this very moment?
Firenze," Harry Potter, this is where I leave you. You're safe now. Good luck."
Flint, Give me that! {he grabs a beaters bat from one and whacks a bludger right at Oliver. It hits Oliver in the stomach and he falls to the ground.}
Flint, {to other members} Take that side!
Flitwick," One of a wizard's most rudimentary skills is levitation the ability to make objects fly. Uh, do you all have your feathers? {Hermione raises hers.} Good. Now, uh, don't forget the nice wrist movement we've been practicing, hmm? The swish and flick. Everyone. {All} The swish and flick. Good. And enunciate. Wingardium Leviosa. Off you go then."
Flitwick," Oh, well done! See here, everyone! Ms. Granger's done it! Oh, splendid!"
Flitwick, Whooaaa! Ooh.
Fred," Honestly, woman, you call yourself our mother!"
Fred," I'm only joking. I am Fred. {He runs through the wall, and is followed by his twin brother.}"
Fred," Hey, well done, Harry, Wood's just told us!"
Fred," Brutal. But no one's died in years. Someone will vanish occasionally... {They break off from Harry and Ron, who walk across a courtyard."
George," He's not Fred, I am!"
George," Our job is to make sure that you don't get bloodied up too bad. Can't make any promises, of course. Rough game, Quidditch."
George, But they'll turn up in a month or two!!
Griphook," Vault 687. Lamp, please. {Hagrid hands him the lamp and he walks to the vault} Key please. {Hagrid hands him the key and he unlocks it}"
Griphook, Vault 713.
Griphook, Stand back. {Slides finger down the door. Clank. Clank. The vault opens to expose a small white stone package. Hagrid hurries in and scoops it up. The eerie light it was shining with disappears.}
Hagrid," Professor Dumbledore, Sir. Professor McGonagall."
Hagrid," No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
Hagrid, Sorry 'bout that. {He puts the door back up}
Hagrid," Dry up, Dursley, you great prune. {The gun fires}"
Hagrid," {sees Dudley} Mind, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
Hagrid," Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself. {Hands Harry the cake} Words and all. Heh."
Hagrid," It's not every day that your young man turns eleven, now is it?"
Hagrid," Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
Hagrid," No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
Hagrid," You're a wizard, Harry."
Hagrid," Well, Just Harry, did you ever make anything happen? Anything you couldn't explain when you were angry or scared? {Harry softens his expression} Ah."
Hagrid, A car crash? A car crash kill James and Lily Potter?
Hagrid, It's an outrage! It's a scandal!
Hagrid," Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
Hagrid," Non magic folk. This boy's had his name down ever since he was born! He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the greatest headmaster Hogwarts' has ever seen Albus Dumbledore."
Hagrid, {whips out umbrella and points it at Vernon} Never insult Albus Dumbledore in front of me.
Hagrid," Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
Hagrid," {checks a clock} Ooh, we're a bit behind schedule. Best be off. Unless you'd rather stay, of course. Hmm? {Leaves}"
Hagrid, If you know where to go.
Hagrid," No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
Hagrid," Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
Hagrid," Yes, well, must be going now. Lots to buy. Heh."
Hagrid," See, Harry, you're famous!"
Hagrid," I'm not exactly sure I'm the right person to tell you that, Harry. {Taps the brick wall clockwise with his umbrella. The blocks shift and open up to reveal a hidden, busy street.}"
Hagrid," Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
Hagrid," Well there's your money, Harry. Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
Hagrid," They're goblins, Harry. Clever as they come goblins but not the most friendly of beasts. Best stick close to me. {Harry sticks to him.} {Hagrid clears his throat as they approach a counter with a goblin in it.} Mr. Harry Potter wishes to make a withdrawal."
Hagrid," Oh. Wait a minute. Got it here somewhere. Hah. Here's the little devil. Oh, and there's something else as well. Professor Dumbledore gave me this. It's about you-know-what in vault you-know-which. {Hands Goblin letter wrapped in string.}"
Hagrid," Didn't think your mum and dad would leave you with nothing, now didja?"
Hagrid," Can't tell you, Harry. It's Hogwarts business. Very secret."
Hagrid," Best not mention this to anyone, Harry."
Hagrid," A wand? Well, you'll want Ollivanders. No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long."
Hagrid, Harry! Harry! Happy birthday! {Has a snowy owl in a cage which hoots.}
Hagrid," You all right, Harry? You seem very quiet."
Hagrid," {Sighs and pushes bowl away} First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
Hagrid," No, I can't spell it. All right. His name was Voldemort."
Hagrid, Shh!!
Hagrid," It was dark times, Harry, dark times. Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em. {Harrys mother, LILY, screams as she is killed by Voldemorts wand} Nobody...not one. Except you. {close-up of baby Harry.}"
Hagrid," Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that."
Hagrid," Some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous, Harry. That's why everbody knows your name. You're the boy who lived."
Hagrid," What're you looking at? {Looks at watch} Blimey, is that the time?? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his...well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket. Stick to it, Harry that's very important. Stick to your ticket."
Hagrid," Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!"
Hagrid," Hello, Harry."
Hagrid," Right then. This way to the boats! Come on, now, follow me."
Hagrid, Well done!
Hagrid, What's going on with Harry's broomstick?
Hagrid, Go go go!
Hagrid, Looks like he's gonna be sick!
Hagrid, Yes!
Hagrid, Nonsense. Why would Snape put a curse on Harry's broom?
Hagrid, Who told you 'bout Fluffy?
Hagrid," Well, of course he's got a name. He's mine. I bought him off an Irish feller I met down at the pub last year. Then I lent him to Dumbledore to guard the"
Hagrid," Shouldn'ta said that. Don't ask any more questions. That's top secret, that is."
Hagrid, Codswallop. Professor Snape is a Hogwarts teacher.
Hagrid," {sighs} Now, you listen to me, all three of you. You're meddlin' in things that ought not to be meddled in. It's dangerous. What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel."
Hagrid, I shouldn't have said that. I should not have said that. I should not have said that. {Exit.}
Hagrid," {clad in oven mitts and an apron} Oh, hello. Sorry, don't wish to be rude, but I'm in no fit state to entertain today. {Closes door.}"
Hagrid, Oh.
Hagrid," Snape? Blimey, Harry, you're not still on about him, are you?"
Hagrid, Snape is one of the teachers protecting the Stone! He's not about to steal it!
Hagrid," You heard. Right. Come on, now, I'm a bit preoccupied today."
Hagrid," That's right. Waste of bloody time, if you ask me."
Hagrid, That? It's a ... its um...
Hagrid," I won it. Off a stranger I met down at a pub. Seemed quite glad to be rid off it, as a matter of fact."
Hagrid," Isn't he beautiful? Oh. Bless him, look. He knows his mummy. Hehe. Hallo, Norbert. {The dragon squeaks as it looks at Hagrid.}"
Hagrid," Yeah, well, he's got to have a name, doesn't he?"
Hagrid," Don't you, Norbert? {raises fingers back and forth across Norberts chin} Dededede."
Hagrid," Ohh! Oooh, ooh, ooh, well...he'll have to be trained up a bit, of course. {Norbert hiccups. Hagrid sees someone looking in the window.} Who's that? {The person scampers away.}"
Hagrid," Oh, dear."
Hagrid, {sniffs and sighs} Norbert's gone. Dumbledore sent him off to Romania to live in a colony.
Hagrid," Yeah, but what if he don't like Romania? {Filch rolls eyes.} What if the other dragons are mean to him? He's only a baby, after all."
Hagrid, Right. Let's go.
Hagrid," What we're here for. See that? That's unicorn's blood, that is. I found one dead a few weeks ago. Now, this one's been injured bad by something. {Harry suddenly sees a large cloaked figure walking through the trees. He looks at Hagrid.} So, it's our job to find the poor beast. Ron, Hermione, you'll come with me."
Hagrid," And Harry, you'll go with Malfoy. {Draco grimaces, and Harry nods.}"
Hagrid," Fine. Just so you know, he's a bloody coward. {Fang whines.}"
Hagrid," Hello there, Firenze. I see you've met our young Mr. Potter. You all right there, Harry? {Harry nods}"
Hagrid, I don't know. I never saw his face. He kept his hood up.
Hagrid," Well, he wanted to know what sort of creatures I looked after. I told him. I said, ""After Fluffy, a dragon's gonna be no problem."""
Hagrid," Well, of course he was interested in Fluffy! How often do you come across a three headed dog, even if you're in the trade? But I told him. I said, ""The trick with any beast is to know how to calm him. Take Fluffy, for example, just play him a bit of music and he falls straight to sleep."""
Hagrid, I shouldn't have told you that. {The three take off.} Where you going?! Wait!
Hagrid, Yes! {grins}
Hagrid," Come on now, hurry up. You'll be late. Train's leaving. Go on. Go on. Come on. Hurry up."
Hagrid," Thought you were leaving without saying good-bye, didja? {Hagrid takes a red album out of his coat pocket and hands it to Harry.} This is for you."
Hagrid," Oh. Go on...on with you. {Harry lets go.} Oh, listen, Harry, if that dolt of a cousin of yours, Dudley, gives you any grief, you could always, um, threaten him with a nice pair of ears to go with that tail of his."
Hagrid," I do. But your cousin don't, do he? Eh? {chuckle} Off you go."
Harry," Yes, Aunt Petunia."
Harry," Yes, Uncle Vernon."
Harry, He's asleep!
Harry," Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you."
Harry," Can you...hear me? {The snake nods} It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often? {The snake shakes its head} You're from Burma, aren't you? Was it nice there, do you miss your family? {The snake turns its head in the direction of a sign which says, Bred in Captivity} I see. That's me as well. I never knew my parents, either."
Harry, Anytime.
Harry, {Grins and giggles}
Harry, Ow!
Harry, I swear I don't know! One minute the glass was there and then it was gone! It was like magic!
Harry," Hey, give it back! It's mine!"
Harry," {Hands cookie to Vernon} Because there's no post on Sunday? Ah, right you are, Harry. No post on Sunday. Hah! No blasted letters today. No, sir. {Harry sees a shadow outside the window. Outside, millions of owls are perched.} No sir, not one blasted, miserable---"
Harry, Get off! Ahh!
Harry, They're my letters! Let go of me!
Harry," Make a wish, Harry. {Blows}"
Harry," Thank you! {Opens cake, which reads Happee Birdae Harry.}"
Harry," {puts cake down} Excuse me, who are you?"
Harry," Sorry, no."
Harry, Learnt what?
Harry, I-I'm a what?
Harry," A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
Harry," No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
Harry," Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry!"
Harry, You knew?? You knew all along and you never told me?
Harry, Blown up? You told me my parents died in a car crash!
Harry, Muggle?
Harry, {laughs}
Harry, {Nods} Okay.
Harry," All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Can we find all this in London?"
Harry," Oh, nice to meet you. {Puts out hand. Quirrell refuses}"
Harry, Good-bye.
Harry," But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
Harry," But, Hagrid, how am I to pay for all this? I haven't any money."
Harry," Uh, Hagrid, what exactly are those things?"
Harry," What's in there, Hagrid?"
Harry, I still need...a wand.
Harry, {Softly} Hello? Hello?
Harry, Oh! {waves. All the shelves come crashing down. Harry jumps and hurriedly puts the wand back on the counter.}
Harry," Sorry, but what's curious?"
Harry, And...who owned that wand?
Harry, Wow.
Harry," He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
Harry, Maybe if you wrote it down?
Harry, Voldemort?
Harry, Me? Voldemort tried to kill...me?
Harry, What happened to Vo-...to You-Know-Who?
Harry," Platform 9 ¾? But Hagrid, there must be a mistake. This says Platform 9 ¾. There's no such thing...is there? {Harry looks up and Hagrid has vanished.}"
Harry," Excuse me, excuse me."
Harry," Excuse me, Sir. Can you tell me where I might find Platform 9 ¾?"
Harry, Muggles?
Harry, Excuse me! C-could you tell me how to
Harry," No, not at all."
Harry, I'm Harry. Harry Potter.
Harry, The what?
Harry," Oh, yeah. {lifts up hair}"
Harry, {pulls out coins} We'll take the lot!
Harry, Bertie Bott's Every Flavour Beans?
Harry," {picks up blue and gold package} These aren't real chocolate frogs, are they?"
Harry," Hey, I got Dumbledore!"
Harry," Hey, he's gone!"
Harry, Just a little bit.
Harry, Yeah!
Harry," Hey, Hagrid."
Harry," I think I can tell who the wrong sort are for myself, thanks."
Harry, Ahh! {puts hand on forehead}
Harry," Nothing...it's nothing, I'm fine."
Harry, {whispers} Not Slytherin. Not Slytherin.
Harry, Wow.
Harry," Say, Percy, who's that teacher talking to Professor Quirrell?"
Harry, What's he teach?
Harry, I think she fancies you.
Harry, We got lost.
Harry," I don't know, Sir."
Harry," I don't know, Sir."
Harry, What's Seamus trying to do to that glass of water?
Harry, Can I borrow this? {Ron nods} Thanks.
Harry," Hey, Ron, somebody broke into Gringotts. Listen, Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to."
Harry, Whoa. {Hermione stares as the class continues.}
Harry, Neville! {shouting}
Harry," Give it here, Malfoy."
Harry," Give it here, Malfoy, or I'll knock you off your broom!"
Harry," A century, according to McGonagall."
Harry, But I've never even played Quidditch. What if I make a fool of myself?
Harry, I-I didn't know.
Harry, Who doesn't?
Harry, What's happening?
Harry, {taps Ron} Let's go this way.
Harry, Does anyone feel like...we shouldn't be here?
Harry, Let's go.
Harry, Run!
Harry, It's locked!
Harry," And for good reason. {Ron and Hermione turn to stand with Harry. There is a massively huge three headed dog sleeping in front of them. The dog, FLUFFY, begins to wake. It growls, yawns, and growls more...noticing the intruders.}"
Harry, Guarding something?
Harry, {throws back} I think so. What are those? {points to two squirming chained down balls.}
Harry, I like this ball.
Harry, What do I do with it?
Harry, Whoa.
Harry," I think we're going to need another feather over here, Professor."
Harry, I think she heard you.
Harry, Where's Hermione?
Harry, How could a troll get in?
Harry, Hermione! She doesn't know!
Harry, He's going into the Girl's Bathroom!
Harry," Hermione, move!"
Harry," Whooa! Whoa, whoa! {He lands on the troll's head, and is hurled forward, then back, and his wand goes up the troll's nose.}"
Harry," Whoa, whoa whoa!"
Harry, Do something! {swipe}
Harry, Anything! Hurry up!
Harry, I don't think so. Just knocked out. {He grabs his wand...which is covered in goo.} Ew. Troll bogies.
Harry, I'm not hungry.
Harry, That explains the blood.
Harry," Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping."
Harry," The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret."
Harry, That's what the dog's guarding. That's what Snape wants.
Harry, But I-I never get mail.
Harry, It's a broomstick!
Harry, But who...?
Harry, A little bit.
Harry, What happened?
Harry, Yes! {a bludger zooms by him.} Whoa!
Harry, Yes!
Harry, Whoa! Whooa!
Harry, Who knows. Why was he trying to get past that 3 headed dog on Halloween?
Harry, Yes?
Harry," But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!"
Harry, Exactly.
Harry, Nicholas Flamel?
Harry, Nicholas Flamel...Who's Nicholas Flamel?
Harry, Knight to E-5.
Harry," Happy Christmas, Ron. What are you wearing?"
Harry, I've got presents?
Harry, Oh! {Harry runs down the stairs.}
Harry," ""Your father left this in my possession before he died. It is time it was returned to you. Use it well."""
Harry, Some kind of...cloak.
Harry, My body's gone!
Harry, I'm invisible??
Harry," {comes over} There was no name. It just said, ""Use it well."""
Harry, {Reading books} Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?
Harry," Mum? {the woman nods and smiles} Dad? {nods and smiles. Harry reaches out to touch them, but only gets the mirror. Then, his mother puts her hand on his shoulder. He puts his own hand on his own shoulders, as if trying to feel her there."
Harry," Ron! You've really got to see this! Ron! You've got to see this! {pulls back covers. Ron wakes up.} Ron, Ron, come on. Get out of bed!"
Harry," There's something you've got to see. Now, come on!"
Harry," Come on. Come. Come look, it's my parents!"
Harry," {moves over} Look in properly. Go on. Stand there. There. You see them, don't you? Thats my dad"
Harry, How can it? Both my parents are dead. {Harry smiles sadly.}
Harry," So, then it shows us what we want? Whatever we want?"
Harry, Shh!
Harry, Hagrid!
Harry, We think Snape's trying to steal it.
Harry," Hagrid, we know he's after the Stone. We just don't know why."
Harry, What?
Harry," Wait a minute. {Ron and a big black boarhound, FANG, meet. Fang sniffs Ron.} One of the teachers?"
Harry," Uh, Hagrid, what exactly is that?"
Harry, Norbert?
Harry, Malfoy.
Harry, Hagrid always wanted a dragon. He told me so the first time I met him.
Harry, I don't understand. Is that bad?
Harry, 50?!
Harry," Hagrid, what's that?"
Harry," If I didn't know better, Draco, I'd say you were scared."
Harry," What is it, Fang?"
Harry, {rises} But what was that thing you saved me from?
Harry, But who would choose such a life?
Harry, Do you mean to say...that that thing that killed the unicorn...that was drinking its blood...that was Voldemort?
Harry, The Philosopher's Stone.
Harry," But he's weak. He's living off the unicorns. Don't you see? We had it wrong. Snape doesn't want the stone for himself, he wants the stone for Voldemort. With the Elixir of Life, Voldemort will be strong again. He'll He'll come back. {Sits down.}"
Harry," I think if he'd had the chance, he might have tried to kill me tonight."
Harry, My scar. It keeps burning.
Harry, Not like this.
Harry," I think it's a warning. It means dangers coming. Uhh! {He rubs scar and then sees Hagrid across the field, at his hut.} Oh. Of course! {runs for hut.}"
Harry," Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one? {They approach Hagrid, who is playing the Harry Potter theme on his flute.} I mean, how many people wander around with dragon eggs in their pockets? Why didn't I see it before? Hagrid, who gave you the dragon egg? {Hagrid stops playing.} What did he look like?"
Harry," The stranger, though, you and he must have talked."
Harry, And did he seem interested in Fluffy?
Harry," We have to see Professor Dumbledore, immediately!"
Harry, He's gone?! Now? But this is important! It's about...the Philosopher's Stone.
Harry, Someone's going to try and steal it.
Harry," That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy."
Harry, We go down the trapdoor. Tonight.
Harry, Trevor.
Harry," Now, Neville, listen. We were"
Harry, Let's go. {Walks by Neville} Sorry.
Harry, Snape's already been here. He's put a spell on the harp. {They approach the sleeping dog.}
Harry, We have to move its paw.
Harry," Come on! {grabs paw, which is blocking the door.} Okay. Push! {They strain and move it. They open the door.} I'll go first. Don't follow until I give you a sign. {Fluffy's eyes open.} If something bad happens, get yourselves out...Does it seem a bit...quiet?"
Harry, Jump! Go! {They all jump through the trapdoor.}
Harry, Whoa! {The plant begins to move towards them.} Oh. Ahh! {The plant ties them up.}
Harry, Hermione! Where are you?!
Harry," Yeah, yeah, I'm fine."
Harry, Apparently not.
Harry, What?
Harry," Ron, are you okay?"
Harry, Okay.
Harry, Lucky Hermione pays attention in Herbology.
Harry, I don't know. Sounds like wings.
Harry," They're not birds, they're keys. And I'll bet one of them fits that door. {They come upon a broomstick, suspended in the air.}"
Harry, I don't know. Strange.
Harry, There! I see it! {points} The one with the broken wing! {He looks at the broom.}
Harry, It's too simple.
Harry, Catch the key!
Harry, Where are we? A graveyard.
Harry, There's the door.
Harry, Wait a minute.
Harry," No, Ron! No!"
Harry, He's going to sacrifice himself!
Harry," RON! {Hermione starts walking to him.} NO! Don't move! Dont forget, we're still playing. {Hermione moves back. Harry walks the diagonal in front of the King.} Checkmate. {The Kings sword falls onto the ground victory. Harry breathes out and then the two run to Ron. They bend beside him.} Take care of Ron. Then, go to the owlery. Send a message to Dumbledore. Ron's right...I have to go on."
Harry, Not as good as you.
Harry, You? {Quirrell turns around.} No. It can't be...Snape. He was the one
Harry," B-but, that day, during the Quidditch Match, Snape tried to kill me."
Harry, Snape was trying to...save me?
Harry, Th-then you let the troll in.
Harry, I-I'm shaking hands with Dumbledore. I've won the house cup.
Harry, Voldemort.
Harry, {shakes his head} Never!
Harry, You liar!
Harry," Ahhhhhhhhh! {Voldemort flies away. Harry falls to the ground, unconscious. He holds the stone in an outstretched hand.}"
Harry, Admirers?
Harry, Ron was here? Is he all right? What about Hermione?
Harry," But, what happened to the Stone?"
Harry," But Flamel, he'll die, won't he?"
Harry," How is it I got the Stone, sir? One minute I was staring in the mirror, and the next..."
Harry," Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
Harry, What is it?
Harry," All right there, Ron?"
Harry, {shrug} All right. Hermione?
Harry, {Pats} Good job.
Harry, One minute. {He walks over to Hagrid.}
Harry," Thanks, Hagrid. {Shakes Hagrid's hand, then hugs him tightly.}"
Harry," But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
Harry, I'm not going home. Not really.
Hermione, Has anyone seen a toad? A boy named Neville's lost one.
Hermione," Oh, are you doing magic? Let's see then."
