Obs,House,Character,Dialogue
28,Gryffindor,Albus Dumbledore," Yes, he must die. And Voldemort himself must do it. That is essential."
29,Gryffindor,Albus Dumbledore," Harry, you wonderful boy. You brave man. Let us walk."
30,Gryffindor,Albus Dumbledore," Something beyond either of our help. A part of Voldemort, sent here to die."
31,Gryffindor,Albus Dumbledore, I was going to ask you that. Where would you say that we are?
32,Gryffindor,Albus Dumbledore," King's Cross, is that right? This is, as they say, your party. I expect you now realize that you and Voldemort have been connected by something other than fate, since that night in Godric's Hollow all those years ago."
33,Gryffindor,Albus Dumbledore," Did. It was just destroyed many moments ago by none other than Voldemort himself. You were the Horcrux he never meant to make, Harry."
34,Gryffindor,Albus Dumbledore," Oh, that's up to you."
35,Gryffindor,Albus Dumbledore," Oh, yes. We're in King's Cross, you say? I think if you so desired, you'd be able to board a train."
36,Gryffindor,Albus Dumbledore, [chuckles] On.
37,Gryffindor,Albus Dumbledore, True.
38,Gryffindor,Albus Dumbledore, Yes.
39,Gryffindor,Albus Dumbledore," [walks back to Harry] Help will always be given at Hogwarts, Harry, to those who ask for it. I've always prized myself on my ability to turn a phrase. Words are, in my not so humble opinion, our most inexhaustible source of magic. Capable of both inflicting injury, and remedying it. But I would, in this case, amend my original statement to this"
40,Gryffindor,Albus Dumbledore," Actually, if I think about it, it doesn't seem curious at all. I'll be going now, Harry. [turns to leave]"
41,Gryffindor,Albus Dumbledore," Of course it's happening inside your head, Harry. Why should that mean that it's not real? [he fades into the light]"
42,No Entry,Alderton,I'm a half-blood. My father was a wizard.
43,No Entry,Alderton,William Alderton.
44,No Entry,Alderton,He worked here for 30 years.
45,No Entry,Alderton,Perhaps you know him.
46,No Entry,Alderton,Always wore his jacket inside out.
47,No Entry,Alderton,"No, there's been a mistake."
48,No Entry,Alderton,"I'm half-blood, you see."
49,No Entry,Alderton,We must go back. I'm half-blood.
50,No Entry,Amelia Bones, Dementors? In Little Whinging?
51,No Entry,Amelia Bones, Please describe the attack. What did they look like?
52,No Entry,Amelia Bones, Those in favor of conviction? [Fudge raises his hand followed by some other people including Umbridge] Those in favor of clearing the accused of all charges?
53,Hufflepuff,Amos,Arthur! It's about time son. 
54,Hufflepuff,Amos,"Merlin's beard, you must be Harry Potter. "
55,Hufflepuff,Amos,Great great pleasure. They shake hands. 
56,Hufflepuff,Amos,Shall we? We don't want to be late. Camera homes in on a boot on top of the hillside. 
57,Hufflepuff,Amos,Time to go. Ready? 
58,Hufflepuff,Amos,After 3. One... Two... 
59,Hufflepuff,Amos,Three! There's a white flash and suddenly they're all flying through the air. Everyone cheers. 
60,Hufflepuff,Amos,"Parting of the waves I think old chap, see you at the match. Amos and Cedric separate and walk off. "
61,Hufflepuff,Amos,Let me through! That's my son! My boy! Amos breaks down wailing. The crowd look on distraught. 
62,Hufflepuff,Amos Diggory," [Pushing his way frantically through the crowd] Let me through. LET ME THROUGH! Let me through, THAT'S MY SON! That's my boy! [pushes Harry's hands away and leans over Cedric's body, sobbing hysterically] IT'S MY BOY!!!!"
63,No Entry,Aragog, Who is it?
64,No Entry,Aragog, Hagrid? Is that you?
65,No Entry,Aragog, Yes. Hagrid has never sent men into our hollow before.
66,No Entry,Aragog, That's a lie! Hagrid never opened the Chamber of Secrets.
67,No Entry,Aragog," No. The monster was born in the castle. I came to Hagrid from a distant land, in the pocket of a traveler."
68,No Entry,Aragog, We do not speak of it! It is an ancient creature that we spiders fear above all others.
69,No Entry,Aragog," I never saw any part of the castle but the box in which Hagrid kept me. The girl was discovered in a bathroom. When I was accused, Hagrid brought me here."
70,No Entry,Aragog," Go? I think not. My sons and daughters do not harm Hagrid on my command, but I cannot deny them fresh meat when it wanders so willingly into our midst. Goodbye, friends of Hagrid."
71,No Entry,Argus Filch, [running in with Mrs. Norris; yelling] Students out of bed! STUDENTS OUT OF BED! Students in the corridor!
72,No Entry,Argus Filch," Oh. Sorry, ma'am."
73,No Entry,Argus Filch," Exactly where is it I'll be leading ‘em to, ma'am?"
74,Gryffindor,Arthur,"Haven't the foggiest, keep up! "
75,Gryffindor,Arthur,"Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right? "
76,Gryffindor,Arthur,"That's it sir, just over there. "
77,Gryffindor,Arthur,Harry! Harry rushes over and puts his hand on the boot. 
78,Gryffindor,Arthur,Let go kids! 
79,Gryffindor,Arthur,"Let! Go! Harry, Hermione and the young Weasleys crash to the ground with a thump. Arthur, Amos and Cedric come down more gracefully. "
80,Gryffindor,Arthur,I bet that cleared your sinuses eh? Cedric helps Harry to his feet. 
81,Gryffindor,Arthur,"Well kids, welcome to the Quidditch World Cup! They walk into the crowd, taking in the sights. Music is playing and people fly about overhead on brooms. They approach a small tent. "
82,Gryffindor,Arthur,Home sweet home. 
83,Gryffindor,Arthur,"Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry. "
84,Gryffindor,Arthur,Feet off the table. 
85,Gryffindor,Arthur,"Come on up, take your seats. I told you these seats would be worth waiting for. "
86,Gryffindor,Arthur,Stop! Stop it. It's not the irish. We've gotta get out of here. Now. 
87,Gryffindor,Arthur,"Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility. Some figures in pointed hoods carrying flaming torches are walking across the campsite chanting ominous noises. The crowd is paniced and rushing all over. Harry is trampled unconscious. "
88,Gryffindor,Arthur,Stop! That's my son. Arthur and others approach. 
89,Gryffindor,Arthur,"Ron, Harry, Hermione are you alright? "
90,Gryffindor,Arthur,You can't possibly.. 
91,Gryffindor,Arthur,"Barty, they're just kids. "
92,Gryffindor,Arthur,"Harry, who? "
93,Gryffindor,Arthur," This is very, very peculiar. It seems that your hearing at the Minstry is to be before the entire Wizengamot."
94,Gryffindor,Arthur,Please pay attention!
95,Gryffindor,Arthur,It's your brother's wedding. Buck up.
96,Gryffindor,Arthur,"Come on, keep up."
97,Gryffindor,Arthur,All together now.
98,Gryffindor,Arthur,"One, two, three."
99,Gryffindor,Arthur,"How's it looking at your end, boys?"
100,Gryffindor,Arthur Weasley," Morning, Weasleys."
101,Gryffindor,Arthur Weasley, What a night. Nine raids. Nine!
102,Gryffindor,Arthur Weasley, Well now. Aah! And who are you?
103,Gryffindor,Arthur Weasley," Good Lord! Are you really? Well, Ron’s told us all about you, of course. When did he get here?"
104,Gryffindor,Arthur Weasley, Did you really? How’d it go? Did you—
105,Gryffindor,Arthur Weasley," I mean…that was very wrong, indeed, boys. Very wrong of you. Now, Harry, you must know all about Muggles. Tell me, what exactly is the function of a rubber duck?"
106,Gryffindor,Arthur Weasley," Dumbledore must know you’re here, Harry. Doesn’t miss a trick, that man."
107,Gryffindor,Arthur Weasley, ‘Diaganilly.’
108,Gryffindor,Arthur Weasley," Children, it’s mad in here! Let’s go outside."
109,Gryffindor,Arthur Weasley, Lucius.
110,Gryffindor,Arthur Weasley," We have a very different idea about what disgraces the name of wizard, Malfoy."
111,Gryffindor,Arthur Weasley,1058! Come on! Come on!
112,Gryffindor,Arthur Weasley," Fred, George, Percy you first!"
113,Gryffindor,Arthur Weasley," After you, dear."
114,Gryffindor,Arthur Weasley," [Arriving and attempting to ignore Mr. Malfoy ] Children, it's mad in here. Let's go outside."
115,Gryffindor,Arthur Weasley, Lucius.
116,Gryffindor,Arthur Weasley," We have a very different idea about what disgraces the name of wizard, Malfoy."
117,Gryffindor,Arthur Weasley,"Now, Harry, you must know all about Muggles. Tell me. What exactly is the function of a rubber duck?"
118,Gryffindor,Arthur Weasley, Haven’t the foggiest!
119,Gryffindor,Arthur Weasley," Times like these, dark times, they do funny things to people. They can tear them apart."
120,Gryffindor,Arthur Weasley," Morning, Weasleys."
121,Gryffindor,Arthur Weasley, What a night. Nine raids. Nine!
122,Gryffindor,Arthur Weasley, Well now. Aah! And who are you?
123,Gryffindor,Arthur Weasley," Good Lord! Are you really? Well, Ron’s told us all about you, of course. When did he get here?"
124,Gryffindor,Arthur Weasley, Did you really? How’d it go? Did you—
125,Gryffindor,Arthur Weasley," I mean…that was very wrong, indeed, boys. Very wrong of you. Now, Harry, you must know all about Muggles. Tell me, what exactly is the function of a rubber duck?"
126,Gryffindor,Arthur Weasley," Dumbledore must know you’re here, Harry. Doesn’t miss a trick, that man."
127,Gryffindor,Arthur Weasley, ‘Diaganilly.’
128,Gryffindor,Arthur Weasley," Children, it’s mad in here! Let’s go outside."
129,Gryffindor,Arthur Weasley, Lucius.
130,Gryffindor,Arthur Weasley," We have a very different idea about what disgraces the name of wizard, Malfoy."
131,Gryffindor,Arthur Weasley,1058! Come on! Come on!
132,Gryffindor,Arthur Weasley," Fred, George, Percy you first!"
133,Gryffindor,Arthur Weasley," After you, dear."
134,No Entry,Aunt Marge," Do they use the cane at St. Brutus', boy?"
135,No Entry,Aunt Marge," Excellent. I won't hear any of this namby-pamby, wishy-washy nonsense about not beating someone when they deserve it. You mustn't blame yourself about how this one turned out, Vernon. It's all to do with blood. Bad blood will out. What is it that the boy's father did, Petunia?"
136,No Entry,Aunt Marge," And a drunk too, no doubt?"
137,No Entry,Aunt Marge, What did you say?
138,No Entry,Aunt Marge," Oh, don't worry. Don't fuss, Petunia. I have a very firm grip."
139,No Entry,Aunt Marge," Actually, it's nothing to do with the father, it has to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup."
140,No Entry,Aunt Marge, Mm. Right! Let me tell you... y-y-- [Her finger starts to inflate.]
141,No Entry,Aunt Petunia, He’s in there. Vernon…
142,No Entry,Aunt Petunia," Not now, Bopkins. For when the Masons arrive."
143,No Entry,Aunt Petunia," …in the lounge, waiting to welcome them graciously into our home."
144,No Entry,Aunt Petunia, Oh!
145,No Entry,Aunt Petunia," [bitterly] Of course we knew. How could you not be? My perfect sister being what she was. My mother and father were so proud the day she got her letter. ""We have a witch in the family. Isn't it wonderful?"" I was the only one who saw her for what she was"
146,No Entry,Aunt Petunia, [sheepishly] We had to say something...
147,No Entry,Aunt Petunia," Don't be so stupid, you're going to go the state school where you belong. [Goes to the kitchen and fishes out a grey shirt in a boiler.] And this is what you're gonna be wearing when I've finished dyeing it."
148,No Entry,Aunt Petunia, He’s in there. Vernon…
149,No Entry,Aunt Petunia," Not now, Bopkins. For when the Masons arrive."
150,No Entry,Aunt Petunia," …in the lounge, waiting to welcome them graciously into our home."
151,No Entry,Aunt Petunia, Oh!
152,No Entry,Bartemius Crouch Sr.," Igor Karkaroff, you have been brought from Azkaban at your own request to present evidence to this council. Should your testimony prove consequential, Council may be prepared to order your immediate release. Until such time you remain, in the eyes of the Ministry, a convicted Death Eater. Do you accept these terms?"
153,No Entry,Bartemius Crouch Sr., And what do you wish to present?
154,No Entry,Bartemius Crouch Sr., Mr. Rosier is dead.
155,No Entry,Bartemius Crouch Sr., If that is all the witness has to offer...
156,No Entry,Bartemius Crouch Sr., Augustus Rookwood? Of the Department of Mysteries?
157,No Entry,Bartemius Crouch Sr.," Very well, the council will deliberate. In the meantime you will return to Azkaban."
158,No Entry,Bartemius Crouch Sr.," Silence! Unless the witness possesses any genuine name of consequence, this session is now concluded."
159,No Entry,Bartemius Crouch Sr., What's that?
160,No Entry,Bartemius Crouch Sr., Yes?
161,No Entry,Bartemius Crouch Sr., The name. Give me the wretched name!
162,No Entry,Bartemius Crouch Sr., [visibly hurt] You are no son of mine.
163,Slytherin,Barty,Which of you conjured this? 
164,Slytherin,Barty,Do not lie! You have been discovered at the scene of the crime! 
165,Slytherin,Barty,Follow me. 
166,Slytherin,Barty,"All of you, this way. "
167,Slytherin,Barty,"After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final. The crowd is unsettled, people are booing. "
168,Slytherin,Barty,"The rules are absolute, the goblet of fire constitutes a binding magical contract. Mr Potter has no choice, he is as of tonight... a tri-wizards champion. "
169,Slytherin,Barty,"Champions, in a circle around me. Miss Delacour over here, Mr Krum, and Potter over here. Right. Miss Delacour, if you will... Barty holds up a bag. Fleur takes out a little green dragon. "
170,Slytherin,Barty,The welsh green. Mr Krum... Viktor takes another out 
171,Slytherin,Barty,The chinese fireball. Oooooh. Cedric picks one. 
172,Slytherin,Barty,The swedish short-snout. Which leaves... 
173,Slytherin,Barty,What's that boy? 
174,Slytherin,Barty,"The hungarian horntail. These represent very real dragons, each of which has been given a golden egg to protect. Your objective is simple, collect the egg. This you must do, for each egg contains a clue without which you cannot hope to proceed to the next task. Any questions? "
175,Slytherin,Barty,Get him another towel. 
176,Slytherin,Barty,"Congratulations Potter, fine achievement. Well done boy. I'm sorry we haven't spoken, after all your story is one I've heard many times. Quite remarkable. Tragic of course, to lose one's family. Never whole again are we? Still, life goes on. And here we stand. I'm sure your parents would be very proud today Potter. Mad-Eye approaches them. "
177,Slytherin,Barty,"Igor Karkaroff, you have been brought from Azkaban at your own request to present evidence to this counsel. Should your testimony prove consequential. Counsel may be prepared to order your immediate release. Until such time you remain in the eyes of the ministry a convicted deatheater. Do you accept these terms? "
178,Slytherin,Barty,What do you wish to present? 
179,Slytherin,Barty,Mr Rosier is dead. 
180,Slytherin,Barty,If that is all the witness has to offer... 
181,Slytherin,Barty,Augustus Rookwood? Of the department of ministries. 
182,Slytherin,Barty,Very well. Counsel will deliberate. In the meantime you will be returned to Azkaban. 
183,Slytherin,Barty,Silence! Barty hits the gavel repeatedly. 
184,Slytherin,Barty,Unless the witness possesses any name of genuine consequence this session is now concluded. 
185,Slytherin,Barty,What's that? 
186,Slytherin,Barty,Yes? 
187,Slytherin,Barty,The name! Give me the wretched name! 
188,Slytherin,Barty,You are no son of mine. 
189,Slytherin,Barty Crouch Jr.," (as Mad-Eye) Alastor Moody. [Writes ""his"" name on the board] Ex-Auror... Ministry malcontent... and your new Defense Against the Dark Arts teacher. I'm here because Dumbledore asked me. End of story, good-bye, the end. Any questions? [No one raises their hand] When it comes to the Dark Arts, I believe in a practical approach. But first, who can tell me how many Unforgivable Curses there are?"
190,Slytherin,Barty Crouch Jr., (as Mad-Eye Moody) The hell he is! The Goblet of Fire is an exceptionally powerful magical object. Only an exceptionally powerful Confundus Charm could have hoodwinked it. Magic way beyond the talents of a fourth-year!
191,Slytherin,Barty Crouch Jr.," Get your filthy hands off of me, you pathetic little men! [He is brought before his father] Hello, father. [flicks his tongue]"
192,Slytherin,Barty Crouch Jr.," (as Mad-Eye) [mocking Hagrid] ""Marvelous creatures, Dragons, aren't they"". Do you think that miserable oaf would've sent you into the woods if I hadn't suggested it? Do you think Cedric Diggory would've told you to open the egg underwater if I hadn't told him first myself? Do you think Neville Longbottom, the witless wonder, could've provided you with Gillyweed if I hadn't given him the book that led him straight to it? HUH?! [Points to head with finger, as if to say, ""Use your brain""]"
193,Slytherin,Barty Crouch Jr.," (as Mad-Eye) [Mocking] ""Bu-bu-bu-bu"". You won because I made it so, Potter. You ended up in that graveyard because it was meant to be so. And now the deed is done. [Grabs Harry's bleeding arm] The blood that runs in your veins runs within the Dark Lord! Imagine how he will reward me when he learns that I have once and for all silenced the great Harry Potter!"
194,Slytherin,Barty Crouch Jr., I'll show you mine if you show me yours. [He reveals the Death-Eater symbol on his wrist]
195,Slytherin,Barty Crouch Jr.," You know what this means, don't you? He's back. Lord Voldemort has returned."
196,Slytherin,Barty Crouch Jr., [smugly] I'll be welcomed back like a hero!
197,Slytherin,"Barty Crouch, Sr."," The rules are absolute. The Goblet of Fire constitutes a binding magical contract. Mr. Potter has no choice. He is, as of tonight... a Triwizard champion."
198,Slytherin,Barty Jr,Get your hands off me you pathetic little men. Hello father. 
199,Slytherin,Barty Jr,the 
200,Slytherin,Barty Jr,I'll show you mine if you show me yours. Barty Jr rolls up his sleeve to reveal a skull and snake marking. 
201,Slytherin,Barty Jr,You know what this means don't you? He's back. Lord Voldemort has returned. 
202,Slytherin,Barty Jr,I'll be welcomed back like a hero. 
203,Slytherin,Bellatrix," [walking into the astronomy tower followed by Death Eaters] Well, look what we have here. Well done, Draco!"
204,Slytherin,Bellatrix," Love to, Albus, but I'm afraid we're on a bit of a tight schedule. [to Draco] Do it!"
205,Slytherin,Bellatrix," No! The Dark Lord was clear; The boy's to do it. This is your moment. Do it! Go on, Draco! NOW!"
206,Slytherin,Bellatrix,Well?
207,Slytherin,Bellatrix,"Yes, what is wrong with his face?"
208,Slytherin,Bellatrix,Shut up!
209,Slytherin,Bellatrix,I'm only going to
210,Slytherin,Bellatrix,"ask you once more, goblin."
211,Slytherin,Bellatrix,"Think very, very carefully"
212,Slytherin,Bellatrix,before you answer.
213,Slytherin,Bellatrix,"Oh, well then, perhaps"
214,Slytherin,Bellatrix,it just walked out on its own then.
215,Slytherin,Bellatrix,Stop!
216,Slytherin,Bellatrix,Drop your wands.
217,Slytherin,Bellatrix,"I said, drop them!"
218,Slytherin,Bellatrix,"Pick them up, Draco, now."
219,Slytherin,Bellatrix,"Well, well, well,"
220,Slytherin,Bellatrix,look what we have here.
221,Slytherin,Bellatrix,It's Harry Potter.
222,Slytherin,Bellatrix,"He's all bright and shiny and new again,"
223,Slytherin,Bellatrix,just in time for the Dark Lord.
224,Slytherin,Bellatrix,Call him.
225,Slytherin,Bellatrix,Call him.
226,Slytherin,Bellatrix,Stupefy!
227,Slytherin,Bellatrix,Stupid elf.
228,Slytherin,Bellatrix,- You could've killed me.
229,Slytherin,Bellatrix,#NAME?
230,Slytherin,Bellatrix,Dobby only meant to maim
231,Slytherin,Bellatrix,or seriously injure.
232,Slytherin,Bellatrix,How dare you take a witch's wand?
233,Slytherin,Bellatrix,How dare you defy your masters?
234,Slytherin,Bellatrix,Dobby has no master.
235,Slytherin,Bellatrix,Dobby is a free elf.
236,Slytherin,Bellatrix,And Dobby has come
237,Slytherin,Bellatrix,to save Harry Potter and his friends.
238,Slytherin,Bellatrix,Hermione.
239,Slytherin,Bellatrix,You're all right. We're safe.
240,Slytherin,Bellatrix,We're all safe.
241,Slytherin,Bellatrix Lestrange," [laughs] He knows how to play! Itty, bitty, baby, Potter!"
242,Slytherin,Bellatrix Lestrange, Neville Longbottom is it? How's mum and dad?
243,Slytherin,Bellatrix Lestrange, You dare speak his name? You filthy half-blood!
244,Slytherin,Bellatrix Lestrange, Sst!
245,Slytherin,Bellatrix Lestrange, [Laughing] I killed Sirius Black! You coming to get me?!
246,Slytherin,Bellatrix Lestrange, How dare you defy your master!
247,Slytherin,Bellatrix Lestrange, You stupid elf! You could have killed me!
248,Slytherin,Bellatrix Lestrange, The boy... is he dead?
249,Slytherin,Bellatrix Lestrange, Ha-ha!
250,Slytherin,Bellatrix Lestrange," No! No, come back! Lucius! Come back! Come back and fight!"
251,Gryffindor,Bem,"Not the Grin, you idiot. The Grim."
252,Gryffindor,Bem,got anything to do with Sirius Black?
253,Gryffindor,Bem,Divination's a woolly discipline.
254,Gryffindor,Bem,"Now, Ancient Runes,"
255,Gryffindor,Bem,that's a fascinating subject.
256,Gryffindor,Bem,Ancient Runes? Exactly how many
257,Gryffindor,Bem,classes are you taking?
258,Gryffindor,Bem,Does he get to fly?
259,Gryffindor,Bem,"""""-What?"
260,Gryffindor,Bem,"""""-come on."
261,Gryffindor,Bem,just behind the wing joint.
262,Gryffindor,Bem,"Don't pull out any of his feathers,"
263,Gryffindor,Bem,because he won't thank you for that.
264,Gryffindor,Bem," Oh, God."
265,Gryffindor,Black,I was going for the rat.
266,Gryffindor,Black,"Normally, I have a very sweet"
267,Gryffindor,Black,disposition as a dog.
268,Gryffindor,Black,"More than once, James suggested"
269,Gryffindor,Black,that I make the change permanent.
270,Gryffindor,Black,The tail l could live with.
271,Gryffindor,Black,"But the fleas, they're murder."
272,Gryffindor,Black,"It's beautiful, isn't it?"
273,Gryffindor,Black,I'll never forget the first time
274,Gryffindor,Black,I walked through those doors.
275,Gryffindor,Black,It'll be nice to do it again
276,Gryffindor,Black,as a free man.
277,Gryffindor,Black,That was a noble thing
278,Gryffindor,Black,you did back there.
279,Gryffindor,Black,He doesn't deserve it.
280,Gryffindor,Black,I didn't think my dad
281,Gryffindor,Black,would have wanted his best friends...
282,Gryffindor,Black,...to become killers.
283,Gryffindor,Black,"Besides, dead,"
284,Gryffindor,Black,the truth dies with him.
285,Gryffindor,Black,"Alive, you're free."
286,Gryffindor,Black,Anything but the dementors!
287,Gryffindor,Black,Ron! Haven't I been a good pet?
288,Gryffindor,Black,You won't let them give me...
289,Gryffindor,Black,"...to the dementors, will you?"
290,Gryffindor,Black,I was your rat!
291,Gryffindor,Black,"-Sweet, clever girl! Surely you won't--"
292,Gryffindor,Black,"I don't know if you know, Harry..."
293,Gryffindor,Black,"...but when you were born, James"
294,Gryffindor,Black,and Lily made me your godfather.
295,Gryffindor,Black,I know.
296,Gryffindor,Black,I can understand if you choose
297,Gryffindor,Black,to stay with your aunt and uncle...
298,Gryffindor,Black,...but if you ever wanted
299,Gryffindor,Black,a different home....
300,Gryffindor,Black,What? Come and live with you?
301,Gryffindor,Black,It's just a thought.
302,Gryffindor,Black,I can understand if you don't want to.
303,Gryffindor,Black,Remus! Remus!
304,Gryffindor,Black,Run! Run!
305,Gryffindor,Black,"""""-wait. wait."
306,Gryffindor,Black,Hermione! Bad idea. Bad idea.
307,Gryffindor,Black,Professor?
308,Gryffindor,Black,Professor Lupin?
309,Gryffindor,Black,Run!
310,Gryffindor,Black,Let's go.
311,Gryffindor,Black,"""""-What are you doing?"
312,Gryffindor,Black,"""""-Saving your life."
313,Gryffindor,Black,I'll be forever grateful for this...
314,Gryffindor,Black,...to both of you.
315,Gryffindor,Black,"""""-l want to Go with you."
316,Gryffindor,Black,"""""-One day, perhaps."
317,Gryffindor,Black,"For some time,"
318,Gryffindor,Black,my life will be too unpredictable.
319,Gryffindor,Black,And besides...
320,Gryffindor,Black,-...you're meant to be here.
321,Gryffindor,Black,-But you're innocent.
322,Gryffindor,Black,And you know it.
323,Gryffindor,Black,"And for now, that will do."
324,Gryffindor,Black,I expect you're tired of hearing this...
325,Gryffindor,Black,...but you look so like your father.
326,Gryffindor,Black,Except your eyes.
327,Gryffindor,Black,-You have--
328,Gryffindor,Black,-My mother's eyes.
329,Gryffindor,Black,It's cruel that I spent so much time
330,Gryffindor,Black,"with James and Lily, and you so little."
331,Gryffindor,Black, Finger!
332,Gryffindor,Black, Should have realized if Voldemort
333,Gryffindor,Black, Sorry about the bite.
334,Gryffindor,Black," Remus, my old friend."
335,No Entry,Boy,Lumos Maxima.
336,No Entry,Boy,Lumos Maxima.
337,No Entry,Boy,"I'm warning you, Hermione."
338,No Entry,Boy,"Keep that beast away from Scabbers,"
339,No Entry,Boy,or l'll turn it into a tea cozy.
340,No Entry,Boy,What do you expect?
341,No Entry,Boy,-lt's in his nature.
342,No Entry,Boy,"""""-a cat? Is That What They told you?"
343,No Entry,Boy,"""""-Looks like a pig with hair."
344,No Entry,Boy,...coming from the owner
345,No Entry,Boy,of that smelly old shoe brush.
346,No Entry,Boy,"Crookshanks, just ignore"
347,No Entry,Boy,the mean little boy.
348,No Entry,Boy,Harry.
349,No Entry,Boy,"""""-Brilliant. Loads of old stuff..."
350,No Entry,Boy,"...like mummies, tombs,"
351,No Entry,Boy,even Scabbers enjoyed himself.
352,No Entry,Boy,"""""-Egyptians used to worship cats."
353,No Entry,Boy,"""""-Along with The dung beetle."
354,No Entry,Boy,-l haven't shown anyone.
355,No Entry,Boy,"No, not a soul."
356,No Entry,Boy,Not unless you count Tom.
357,No Entry,Boy,"""""-Night maid."
358,No Entry,Boy,"""""-The bloke who fixed The toilet."
359,No Entry,Boy,"""""-Harry."
360,No Entry,Boy,"""""-Good to see you, dear."
361,No Entry,Boy,"""""-Good to see you."
362,No Entry,Boy,"""""-Got everything?"
363,No Entry,Boy,"""""-Yes."
364,No Entry,Boy,"""""-Yes? All your books?"
365,No Entry,Boy,-lt's all upstairs.
366,No Entry,Boy,"""""-your clothes?"
367,No Entry,Boy,"""""-Everything."
368,No Entry,Boy,"""""-Good boy."
369,No Entry,Boy,"""""-Thank you."
370,No Entry,Boy,"""""-Harry Potter."
371,No Entry,Boy,"""""-Harry, wonder if I might have a word?"
372,No Entry,Boy,"""""-Yeah, sure."
373,No Entry,Boy,"""""-looking forward to a new term?"
374,No Entry,Boy,"""""-Yeah. it should be great."
375,No Entry,Boy,"Harry, some within the Ministry"
376,No Entry,Boy,would strongly discourage me...
377,No Entry,Boy,...from divulging what l'm about
378,No Entry,Boy,to reveal to you.
379,No Entry,Boy,But l think that you need
380,No Entry,Boy,to know the facts.
381,No Entry,Boy,You are in danger.
382,No Entry,Boy,Grave danger.
383,No Entry,Boy,Has this anything to do
